Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
"Kintetsu Group Holdings Co., Ltd.",Ground Transport,"29,048 [* 6] (FY2015)","http://www.kintetsu-g-hd.co.jp/,https://www.wikidata.org/wiki/Q19758662?uselang=en#P856",Tetsuya Kobayashi ( Chairman ) Yoshinori Yoshida ( President ),"¥1,217,995 million (FY2015) [* 1] ¥1,233,798 million (FY2014) [* 2] ¥1,246,360 million (FY2013) [* 3] ¥932,156 million (FY2012) [* 4] ¥942,790 million (FY2011) [* 5]","September 16, 1910 ; 109 years ago ( 1910-09-16 ) in Osaka , Osaka Prefecture , Japan","6-1-55, Uehonmachi, Tennoji-ku , Osaka , Japan"
"Sansei Technologies, Inc.",Manufacturing,700 (2013),http://sansei-technologies.com,Makoto Nakagawa (President),,"February 27, 1951 ( 1951-02-27 )","Suita, Osaka , Japan"
"Sanrio Co., Ltd.",Wholesale [1] Video Games,759 (Mar. 2017) [3],http://sanrio.com,Shintaro Tsuji ( President & CEO ),"¥ 74,233 million (FY2012) [2]",10 August 1960 ; 59 years ago ( 1960-08-10 ) (as Yamanashi Silk Company),"Shinagawa , Tokyo , Japan"
Sanoyas Holdings Corporation,"Shipbuilding , Engineering, Construction Machines Group, Leisure",,http://www.sanoyas.co.jp/,"Tatsuo Nagumo, Chairman, and Shinichi Kimura, President. [3]",,April 1911 [1],"Kita-ku, Osaka , Japan [2]"
"Sankyo Contl., Ltd.",,"1,009 (2018)",https://www.sankyo-fever.co.jp/corporate/en/index.html,,,,"Shibuya , Tokyo , Japan"
Sanden Corporation,Automotive Electrical equipment,"10,194 (consolidated) (as of March 31, 2013)",http://www.sanden.co.jp/english/index.html,"Masayoshi Ushikubo, ( CEO and Chairman )","$ 2.570 billion USD ( FY 2012)
                   (¥  241.78 billion JPY ) ( FY 2013)","July 30, 1943","20 Kotobuki-cho, Isesaki-shi , Gunma , Japan 372-8502"
Sammy Corporation,Gambling,"1,105 (FY 2013)",http://www.sammy.co.jp/english/,Jin Ho Chung (President and CEO) Hajime Satomi (President and CEO) Keishi Nakayama (Co-President/Chief Creative Officer) Toru Katamoto (Executive Vice President),,"November 1, 1975 ; 43 years ago ( November 1, 1975 )","*Shiodome Sumitomo Building 21F, 1-9-2 Higashi Shimbashi, Minato, Tokyo , Japan"
"Secom Co., Ltd.",Security,,http://www.secom.co.jp/index.html,,,,"Tokyo, Japan"
"Saizeriya Co., Ltd. ",Restaurants,"1,454",http://www.saizeriya.co.jp/,Yasuhiko Shōgaki ( 正垣泰彦 ) (Executive director),"¥ 82,700,000,000 JPY","Yoshikawa , Saitama , Japan (May 1, 1973 ( 1973-05-01 ) )","〒 342-0008
No. 5, No. 2 Asahi, Yoshikawa City, Saitama Prefecture , Japan"
"Saibu Gas Co., Ltd. ",Energy,"1,342 (2019)",http://www.saibugas.co.jp/e/,,"¥203,478 million (FY 2019) [* 1]","December 1, 1930","Hakata-ku, Fukuoka , Japan"
Bank of the Ryukyus,"Banking , financial services",,https://www.ryugin.co.jp/,Yasushi Kawakami (CEO),"¥ 63,027 million (2017)","May 1, 1948 ; 71 years ago ( 1948-05-01 )","Naha , Okinawa , Japan"
Ryobi Limited,Machinery,"8,993 (as of March 26, 2016)",http://www.ryobi-group.co.jp/en/index.html,Akira Urakami ( President ),"JPY 254.5 billion ( FY 2015)
                        ( US$ 2.25 billion) (FY 2015)","December 16, 1943 ; 75 years ago ( 1943-12-16 )","Fuchu, Hiroshima 726-8628 , Japan"
Round One Entertainment Inc.,,,"http://www.round1.co.jp/,http://www.round1usa.com/",,,,"Sakai-ku , Sakai City, Osaka , Japan [1]"
"Rohto Pharmaceutical Co., Ltd.",Fast-moving consumer goods and pharmaceutical industry,"5,518 (March 31, 2013)",http://www.rohto.co.jp/global/,"Kunio Yamada (chair and CEO , great-grandson of the founder) Toshiaki Yoshino (president and COO )","¥120,292 million (FY 2011) [* 1] ¥115,472 million (FY 2010)","Higashinari-ku, Osaka, Japan (September 15, 1949 ( 1949-09-15 ) , to reorganize ""Shintendo, Yasutami Yamada pharmaceutical Company"")","Ikuno-ku, Osaka, Japan"
Roland Corporation,Electronics,"3,060 (2013)",http://roland.com,"Ikutaro Kakehashi , Junichi Miki [1]",,"18 April 1972 ; 47 years ago ( 1972-04-18 ) Osaka , Japan","Hamamatsu , Shizuoka , Japan"
"Rohm Co., Ltd.",Electronics Semiconductor,"21,308 (as of March 31, 2017)",http://www.rohm.com/web/global/,"Tadanobu Fujiwara, ( CEO and President )","¥ 352,010 million ( FY 2017) [1] ( ¥ 352,369 million) (FY 2016)","Kyoto , Japan (September 17, 1958 ( 1958-09-17 ) )","21 Saiin Mizosaki-cho, Ukyo-ku , Kyoto 615-8585 Japan"
Riso Kagaku Corporation,Electronics,"3,563 (as of March 31, 2016)",http://www.riso.co.jp/english/,Akira Hayama ( President and CEO ),"JPY 85.4 billion ( FY 2015)
                        ( US$ 762.5 million) (FY 2015)","(September 2, 1946 ; 73 years ago ( 1946-09-02 ) )","Shiba , Minato-ku, Tokyo 108-8385 , Japan"
Rinnai Corporation,Home appliance,"10,571 (consolidated, as of March 31, 2018)",https://www.rinnai.co.jp/en/,Kenji Hayashi ( Chairman ) Hiroyasu Naito ( President and Executive President ),"JPY 347 billion ( FY 2017)
                      ( US$ 3.2 billion) (FY 2017)",1 September 1920 ; 99 years ago ( 1920-09-01 ),"Nakagawa-ku, Nagoya , 454-0802 , Japan"
"Ricoh Company, Ltd.",Electronics,"97,878 (as of March 31, 2018)",http://www.ricoh.com/,Shiro Kondo ( Chairman ) Yoshinori Yamashita (President & CEO),"¥ 2.063 trillion (Year ended March 31, 2018)","Tokyo, February 6, 1936 ; 83 years ago ( 1936-02-06 )","Chūō , Tokyo, Japan"
"November 7, 1950",Precision equipment,"3,292",http://www.rhythm.co.jp/,Tatsuo Kasama ( President ),,"November 7, 1950 ; 68 years ago ( November 7, 1950 )","Omiya-ku, Saitama-shi , Saitama , Japan"
"Recruit Holdings Co., Ltd.",Published media,"512 (holding company) 45,688 (group) (as of March 31, 2017) [1]",https://recruit-holdings.com,"Masumi Minegishi, President, CEO and Representative Board Director","1,839.98  billion Yen (FY 2016) [1]",26 August 1963 ; 56 years ago ( 1963-08-26 ) [ inconsistent ],"Tokyo , Japan"
"Rakuten, Inc.",Internet Online retailing,"17,214 (2018)",http://global.rakuten.com/group/,Hiroshi Mikitani ( Chairman and CEO ),"¥ 1,101.48  billion (2018) [1]","February 7, 1997 ; 22 years ago ( 1997-02-07 ) (as MDM, Inc.)","Setagaya , Tokyo , Japan"
POSCO,Steel,"29,648 (2009)",http://www.posco.com,Park Tae-Joon (Founder and Honorary Chairman) Choi Jeong-Woo (Chief Executive Officer),US$ 60.87 billion (2011) [1],1968 ; 51 years ago ( 1968 ),"Pohang , South Korea"
Pixela Corporation,Computer hardware Computer software,266,http://www.pixela.co.jp/en/,Hiroshi Fujioka (CEO),"8,623 million yen","June 21, 1982","Osaka, Japan"
"Resona Holdings, Inc.",Banking,,http://www.resona-gr.co.jp/holdings/english,,,1918 ; 101 years ago ( 1918 ) (as the Osaka Nomura Bank),"Koto , Tokyo , Japan"
Renesas Electronics Corporation,Semiconductor,"19,546 (Consolidated, as of December 31, 2018) [2]","https://www.renesas.com/,https://www.wikidata.org/wiki/Q1196269?uselang=en#P856","Hidetoshi Shibata (Representative Director, President and CEO ) Tetsuya Tsurumaru (Representative Director and Chairman) [1]",,"November 1, 2002 ; 16 years ago ( 2002-11-01 ) (Started operation on April 1, 2010)","Tokyo , Japan"
Pioneer Corporation,Consumer electronics,"16,763 (2017)","http://global.pioneer/en/,http://global.pioneer/en/info/globalnetwork/",Susumu Kotani (President),"386,682 million Yen (2017) [1]","Tokyo , Japan (1938 ; 81 years ago ( 1938 ) )","28-8, Honkomagome 2-chome, Bunkyō, Tokyo 113-0021, Japan, Japan"
"SG HOLDINGS CO., LTD.",Courier Logistics Real estate,"85,808 (2017)",http://www.sg-hldgs.co.jp,,¥ 930 billion (2016),"March 21, 2006 ; 13 years ago ( 2006-03-21 )","Minami-ku , Kyoto , Japan"
Pilot Corporation ,Stationery,,http://pilotpen.com,,,1918 ; 101 years ago ( 1918 ) as Namiki Manufacturing Company,"Tokyo , Japan"
Pepper Lunch,Restaurants,,http://pepperlunch.com,Kunio Ichinose (founder),,1994 ; 25 years ago ( 1994 ),"Tokyo , Japan"
"Poplar Co., Ltd.",Retail (Convenience stores),,http://www.poplar-cvs.co.jp,,,"April 20, 1976","Asakita-ku, Hiroshima , Japan"
Panasonic Corporation,Electronics Semiconductors Home appliances,"273,858 (2019) [1]",http://panasonic.com/global/home.html,Shusaku Nagae (Chairman) Masayuki Matsushita [ ja ] (Vice chairman) Kazuhiro Tsuga ( President ) Laurent Abadie (COO) Yoshiyuki Miyabe (CTO),¥ 8.002 trillion (2019) [* 1],"March 13, 1918 ; 101 years ago ( 1918-03-13 ) Osaka , Japan","Kadoma, Osaka , Japan 34°44′38″N 135°34′12″E ﻿ / ﻿ 34.7438°N 135.5701°E ﻿ / 34.7438; 135.5701 Coordinates : 34°44′38″N 135°34′12″E ﻿ / ﻿ 34.7438°N 135.5701°E ﻿ / 34.7438; 135.5701"
"Otsuka Pharmaceutical Co., Ltd.",Medication,"5,634 (2017)",http://www.otsuka.com/en/,Tatsuo Higuchi ( President ),¥ 531.2 billion (2017),1964; 55 years ago,"Chiyoda , Tokyo , Japan"
"OSAKA Titanium Technologies Co., Ltd.",Non-ferrous metals Chemicals,"752 (as of March 31, 2013) 167 (temporary staff)",http://www.osaka-ti.co.jp/e/,"Shozo Nishizawa, ( CEO and President )","$ 594 million ( FY 2012)
                  ( ¥ 55.876 billion) ( FY 2012)","Osaka , Japan (November 26, 1952 ( 1952-11-26 ) )","1 Higashihama-cho, Amagasaki , Hyogo 660-8533, Japan"
ORIX Corporation,Financial services,"35,912",http://www.orix.co.jp/grp/en/,"Yoshihiko Miyauchi , Senior Chairman","¥ 2,678.7 billion (~ $ 23.6 billion)","Kita-ku, Osaka , Japan (April 17, 1964 ( 1964-04-17 ) )","World Trade Center Building , Hamamatsucho , Minato, Tokyo ORIX Hommachi Building, Nishi-Hommachi, Nishi-ku, Osaka"
"The Oriental Land Company, Ltd.",Travel,"4,438 [1]",http://www.olc.co.jp/en/,"Toshio Kagami (Chairman, CEO ) Kyoichiro Uenishi ( President , COO)","US$ 3,767.6 m ( March 31, 2015 )",1960 ( 1960 ),"Urayasu, Chiba , Japan"
"Ono Pharmaceutical Co., Ltd.",Pharmaceuticals,"3,576 (consolidated, as of September 30,2018)",https://www.ono.co.jp/eng/index.html,Gyo Sagara ( President and CEO ),"JPY 261.8 billion ( FY 2017)
                      ( US$ 2.4 billion) (FY 2017)",1717 ; 302 years ago ( 1717 ) as Fushimiya Ichibei apothecary,"Chuo-ku, Osaka , 541-8564 , Japan"
Omron Corporation,Electrical equipment Electronics Healthcare,39427 (June 2015),http://www.omron.com/,Yoshihito Yamada ( President and CEO ),$ 8.279 billion USD ( FY 2015) (¥ 833.60 billion JPY ) ( FY 2015),"May 10, 1933 ; 86 years ago ( 1933-05-10 ) Osaka , Japan","Shiokoji Horikawa, Shimogyo-ku , Kyoto 600-8530, Japan"
Olympus Corporation,Electronics,"39,727 (31 March 2011) [2]",http://olympus-global.com,Hiroyuki Sasa (President & CEO),"¥847,105 million (y/e March 2011) [2]","12 October 1919 ; 100 years ago ( 1919-10-12 ) (as Takachiho Seisakusho) Shinjuku , Tokyo , Japan","Shinjuku, Tokyo, Japan"
"The Okinawa Electric Power Company, Incorporated",Energy,"2,495 (2010, consolidated)",https://www.okiden.co.jp/,,"¥162,501 million (2010, consolidated)","Urasoe, Okinawa , Japan (May 15, 1972 ( 1972-05-15 ) )","Urasoe, Okinawa , Japan"
Okuma Corporation,Machinery,"3,303 (consolidated, as of June 2014)",http://www.okuma.co.jp/english/,Yoshimaro Hanaki ( President and CEO ),"US$ 1.305 billion ( FY 2013)
                  ( JPY 134.35 billion) (FY 2013)",Nagoya (January 1898 ; 121 years ago ( 1898-01 ) ),"Ōguchi, Aichi 480-0193, Japan"
Onkyo Corporation ,Electronics,"1,814 (2016)",http://onkyo.com,"Munenori Ohtsuki ( Chairman , Representative Director, President ) Hiroshi Nakano (Vice President, Representative Director)",$492M,"Osaka , Japan September 17, 1946 ; 73 years ago ( 1946-09-17 ) as Osaka Denki Onkyo K.K","Osaka , Osaka , Japan"
"Oki Electric Industry Co., Ltd.",Electronics,"21,090 (consolidated, as of March 31, 2014)",http://oki.com/en,Hideichi Kawasaki ( President and CEO ),"US$ 4.72 billion (2013)
                   ( ¥ 483.11 billion) (2013)",January 1881 ; 138 years ago ( 1881-01 ),"1-7-12 Toranomon , Minato-ku , Tokyo 105-8460, Japan 35°40′11″N 139°44′58″E ﻿ / ﻿ 35.669813°N 139.749312°E ﻿ / 35.669813; 139.749312"
Ohara Inc.,Glass Ceramics,"1,702 (consolidated, as of October 31, 2018)",http://www.ohara-inc.co.jp/en/index.html,Hirokazu Saito ( President ),JPY 28.2 billion ( FY 2018) ( US$ 255 million),"October 1, 1935 ; 84 years ago ( 1935-10-01 )","Chuo-ku, Sagamihara , Kanagawa 252-5286 , Japan"
"Parco Co., Ltd. ",Retail,"633 (directly) 2,006 (contract) [2]",http://www.parco.co.jp/group/en/,Kozo Makiyama (President),"¥ 264,840 million (FY2010) [1]","Ikebukuro, Toshima, Tokyo , Japan February 13, 1953 ( 1953-02-13 )","Shibuya First Place Building, 8-16, Shinsencho, Shibuya, Tokyo , Japan 1-28-2, Minami- Ikebukuro , Toshima, Tokyo , Japan (registered)"
"Odakyu Electric Railway Co., Ltd.",Public transport,"3,593 (as of 2016/8/1)",http://www.odakyu.jp,"Koji Hoshino, President & CEO",¥166.445 billion (FY2016),"Shinjuku, Tokyo , Japan (June 1, 1948 ( 1948-06-01 ) )","1-8-3, Nishi-Shinjuku, Shinjuku, Tokyo 160-8309, Japan"
Obayashi Corporation,Construction Engineering Design,"14,359 (consolidated) (as of March 31, 2018)",http://www.obayashi.co.jp/english/,"Kenji Hasuwa, ( CEO and President )","$ 17.28 billion USD ( FY 2018.3)
                   (¥  1,901 billion JPY ) ( FY 2018.3)","Osaka , Japan (January 1892 ( 1892-01 ) )","Shinagawa Intercity Tower B, 2-15-2, Kōnan, Minato-ku , Tokyo 108-8502, Japan"
NTT Docomo Inc.,Telecommunications,"22,955 (2011) [2]",https://www.nttdocomo.co.jp/,Kazuhiro Yoshizawa (CEO) [1],¥ 4.240 trillion (2012) [2],"August 14, 1991 ; 28 years ago ( 1991-08-14 )","Sanno Park Tower Nagatachō , Chiyoda , Tokyo , Japan"
NTT Data,"IT services , IT consulting",,http://www.nttdata.com/global/en/,Yo Honma,,1978 ; 41 years ago ( 1978 ) (spinoff from NTT ),"Toyosu , Tokyo , Japan"
Oji Holdings Corporation,Pulp and Paper,"27,360 (consolidated) (as of 31 March, 2013)",http://www.ojiholdings.co.jp/english/,"Kiyotaka Shindo, ( CEO and President )","$ 13.20 billion USD ( FY 2012)
                  (¥  1,241 billion JPY ) ( FY 2012)","(February 12, 1873 ( 1873-02-12 ) )","7-5, Ginza 4-chome, Chuo-ku , Tokyo 104-0061, Japan"
"Penta-Ocean Construction Co., Ltd.",Construction,"2,911 (as of 31 March 2013)",http://www.penta-ocean.co.jp/english/index.html,"Takuzo Shimizu, (President, Chief Executive Officer & Representative Director])","$ 3.69 billion USD ( FY 2013)
                  (¥  381.18 billion JPY ) ( FY 2013)","Kure , Hiroshima Prefecture , Japan (April 1896 ; 123 years ago ( 1896-04 ) )","2-8 Koraku 2-chome, Bunkyo-ku , Tokyo 112-8576, Japan"
NsK Ltd. ,Machinery,"31,860 (2018)",http://www.nsk.com,Norio Otsuka ( Chairman ) Toshihiro Uchiyama ( President / CEO ),¥1.020 billion (2018),"Tokyo (November 8, 1916 ; 102 years ago ( 1916-11-08 ) )","1-6-3 Ōsaki , Shinagawa-ku , Tokyo, 141-8560, Japan"
NTN Corporation,Manufacturing,"24,665 (consolidated, as of March 31, 2017)",http://www.ntnglobal.com/en/index.html,Hiroshi Ohkubo ( President ),"US$ 6.03 billion ( FY 2016)
                  ( JPY 683.3 billion) (FY 2016)","Kuwana, Mie Prefecture (March 1918 ; 101 years ago ( 1918-03 ) )","1-3-17, Kyomachibori, Nishi-ku, Osaka 550-0003, Japan"
Odakyu Group,Public transport Real estate Retail Hotel,"13,560 (as of the end of Mar 2017)",http://www.odakyu.jp/links.html,"Toshimitsu Yamaki, Chairman of Odakyu Electric Company Board",¥523.031 billion (FY2016),"Shinjuku, Tokyo , Japan (June 1, 1948 ( 1948-06-01 ) )","1-8-3 Nishi-Shinjuku, Shinjuku, Tokyo 160-8309, Japan"
Nomura Research Institute ,Consulting & IT consulting,"13,000+",http://www.nri.co.jp/english/,Shingo Konomoto (President),"USD 4.52 billion (March, 2019)",1965,"Otemachi Financial City Grand Cube, 1-9-2 Otemachi, Chiyoda-ku, Tokyo 100-0004, Japan"
"Nomura Holdings, Inc.",Financial Services Financial Management Consulting,,http://www.nomura.com,Nobuyuki Koga (Chairman) Tetsu Ozaki (Vice Chairman) Koji Nagai (President and Group CEO),"¥1,385 billion (FY 2010) [2]","December 25, 1925 ; 93 years ago ( 1925-12-25 ) Osaka , Japan","1-9-1, Nihonbashi , Chuo, Tokyo , Japan"
"NKK SWITCHES Co., Ltd.",Electrical equipment,"263 (consolidated, as of March 31, 2018)",https://www.nkk.com/index.html,Tomoshige Ohashi ( CEO ),"JPY 7.9 billion ( FY 2017)
                      ( US$ 74.9 million) (FY 2017)","December 11, 1953 ; 65 years ago ( 1953-12-11 )","Takatsu-ku, Kawasaki , Kanagawa Prefecture , 213-8553 , Japan"
Nitto Denko Corporation,Chemical,"31,997 (FY 2014)",http://www.nitto.com,Hideo Takasaki (Board member and President),"¥825,243 million (FY 2014)","Osaki, Tokyo, Japan (October 25, 1918 ( 1918-10-25 ) )  100 years ago","O-fuka-cho , Kita-ku , Osaka , Japan"
"Noritake Co., Limited",Glass & ceramics,"5,097 (consolidated, as of 31 March 2017)",http://www.noritake.co.jp/eng/,Hitoshi Tanemura ( Chairman ) Tadashi Ogura ( President ),"JPY 108.8 billion ( FY 2016)
                        ( US$ 1 billion) (FY 2016)",4 January 1904 ; 115 years ago ( 1904-01-04 ) as Nippon Toki Gomei Kaisha,"Nishi-ku , Nagoya 451-8501, Japan"
"Nitto Boseki Co., Ltd.",Textile,"2,530 (consolidated, as of March 31, 2014)",http://www.nittobo.co.jp/english/index.htm,Katsumi Minamizono ( President and Chairman of the board ) Yoshitada Shiratori ( CEO ),"US$ 826 million ( FY 2013)
                  ( JPY 85.1 billion) (FY 2013)",(April 1918 ; 101 years ago ( 1918-04 ) ),"2-4-1, Kojimachi , Chiyoda-ku , Tokyo 102-8489, Japan"
"Nissin Kogyo Co., Ltd.",Automotive,"9,557  (consolidated, as of March 31, 2016)",http://www.nissinkogyo.co.jp/en/,Eiji Okawara ( President and CEO ),"JPY 166.8 billion ( FY 2016)
                      ( US$ 1.54 billion) (FY 2016)",October 1953 ; 66 years ago ( 1953-10 ),"Tomi City, Nagano , 389-0514 , Japan"
Noritsu,Electronics,,http://noritsu.co.jp,Hirotsugu Nishimoto ( CEO ),,June 1951,"Tokyo , Japan"
"Nissin Foods Holdings Co., Ltd.",Food industry,"7,505 (as of March 31, 2011)","https://www.nissin.com/,https://www.wikidata.org/wiki/Q53293?uselang=en#P856",Susumu Nakagawa ( President ),"¥ 374,932 million (March 2011) [1]","October 1, 2008 ; 11 years ago ( 2008-10-01 ) (to take over the instant food business from the former Nissin Food Products Co., Ltd.)","1-1, Nishi-Nakajima Yonchome, Yodogawa-ku , Osaka , Japan"
"Nissin Electric Co., Ltd.",Electrical equipment,"4,720 (as of March 31, 2014)",http://nissin.jp/e/,Yoshikazu Amano ( Chairman ) Hideaki Obata ( President ),"US$ 1.07 billion ( FY 2013)
                  ( JPY 109.8 billion) (FY 2013)","(April 11, 1917 ; 102 years ago ( 1917-04-11 ) )","47, Umezu-Takase-cho, Ukyo-ku , Kyoto 615-8686, Japan"
Nisshinbo Holdings Inc.,Diversified industrials,"23,055 (as of March 31, 2016)",http://www.nisshinbo.co.jp/english/,Masaya Kawata ( President ),"JPY 533.9 billion ( FY 2015)
                        ( US$ 4.64 billion) (FY 2015)","(February 5, 1907 ; 112 years ago ( 1907-02-05 ) )","Nihonbashi , Chuo-ku, Tokyo 103-8650 , Japan"
Nissan Chemical Corporation,Chemicals,"2,583  (consolidated, as of March 31, 2019)",https://www.nissanchem.co.jp/eng/,Kojiro Kinoshita ( President and CEO ),JPY 193.4 billion ( FY 2017) ( US$ 1.8 billion),February 1887 ; 132 years ago ( 1887-02 ),"Nihonbashi , Chuo-ku, Tokyo 103-6119 , Japan"
"Nissan Motor Co., Ltd.",Automotive,"138,910 (FY2017) [6]",http://www.nissan-global.com/EN/index.html,"Yasushi Kimura (Chair of the board) Yasuhiro Yamauchi (President and CEO, acting)",¥ 11.95 trillion (FY2017) [5],26 December 1933 ; 85 years ago ( 1933-12-26 ) (under Nissan Group ) [1] [2],"Nishi-ku, Yokohama , Japan (Officially registered in Kanagawa-ku, Yokohama , Kanagawa Prefecture )"
Nipro Corporation,Medical equipment,"19,327 (consolidated) (as of March 31, 2013)",http://www.nipro.co.jp/en/index.html,"Yoshihiko Sano, ( CEO and President )","$ 2.562 billion ( FY 2012)
                   ( ¥ 241.021 billion) (FY 2012)","July 8, 1954 ( 1954-07-08 )","3-9-3 Honjo-nishi, Kita-ku , Osaka 531-8510, Japan"
"Nissan Shatai Co., Ltd.",Automotive,,"http://www.nissan-shatai.co.jp/,https://www.wikidata.org/wiki/Q372967?uselang=en#P856",Shohei Kimura (President),¥ 558.60 billion (FY2017) [note 1] [1],1 April 1949 ; 70 years ago ( 1949-04-01 ),"Hiratsuka, Kanagawa , Japan"
NS Solutions Corp.,Information technology,"2,817 (2016)",http://www.nssol.nssmc.com/,Munetaka Shashiki,JPY 218.6 billion,1980,"Tokyo , Japan"
"Nippon Television Holdings, Inc.",Broadcasting Communication,"1,193 (as of April 1, 2013)",http://www.ntv.co.jp/english/,Yoshio Okubo (President),"¥326,423 million (FY2012) ¥305,460 million (FY2011)","Tokyo, Japan (April 26, 2012 ( 2012-04-26 ) ) Nippon Television Network Preparatory Corporation","6-1, Higashi-Shimbashi Itchome, Minato, Tokyo , Japan"
Nippon Telegraph and Telephone Corporation,Telecommunications,"282,550 (2018) [1]","http://www.ntt.co.jp,http://www.ntt-global.com",Satoshi Miura (Chairman) Jun Sawada (President and CEO),¥ 11.8 trillion (2018) [1],"August 1, 1952 ( 1952-08-01 ) (as government monopoly) April 1, 1985 ( 1985-04-01 ) (Private Company)","Ōtemachi , Chiyoda , Tokyo , Japan"
Nippon Yusen Kabushiki Kaisha,Transportation,"33,520 (as of March 31, 2015)",http://www.nyk.com/english,Yasumi Kudo ( Chairman ) Hitoshi Nagasawa ( President ) [1],"JP¥ 2,401 billion ( FY 2014)
                        ( US$ 20.1 billion) (FY 2014)","Tokyo (September 29, 1885 ; 134 years ago ( 1885-09-29 ) )","Marunouchi , Chiyoda-ku , Tokyo 100-0005, Japan"
"Nishi-Nippon Railroad Co., Ltd.",Private railroad,,http://nishitetsu.co.jp,,,"December 17, 1908 ( 1908-12-17 )","Tenjin, Fukuoka , Japan"
"Nippon Suisan Kaisha, Ltd.",Fishing Food Processing Whaling (former),"10,175 (consolidated) (as of March 31, 2013)",http://www.Nissui.co.jp/english/index.html,"Norio Hosomi, ( CEO and President )","$ 6.03 billion ( FY 2012)
                   ( ¥ 566.858 billion) ( FY 2012)","Shimonoseki , Yamaguchi , Japan (1911 ( 1911 ) )","Nishi-Shimbashi Square, 1-3-1, Nishi-Shimbashi , Minato-ku , Tokyo 105-8676, Japan"
"Nippon Soda Co., Ltd.",Chemicals,"2,702 (as of September 30, 2016)",http://www.nippon-soda.co.jp/e/index.htm,Yutaka Kinebuchi ( Chairman ) Akira Ishii ( President ),"JPY 142.7 billion ( FY 2015)
                        ( US$ 1.27 billion) (FY 2015)","Jōetsu, Niigata (February 1, 1920 ; 99 years ago ( 1920-02-01 ) )","Ōtemachi , Chiyoda-ku, Tokyo 100-8165 , Japan"
"Nippon Sheet Glass Co., Ltd. ",Glass,"28,000 (as of March 31, 2013)",http://www.nsg.com,Shigeki Mori ( CEO and President ),"$ 5.546 billion ( FY 2012)
              ( ¥ 521.346 billion) (FY 2012)","Osaka , Japan (November 22, 1918 ( 1918-11-22 ) )","Sumitomo Fudosan Mita Twin Bldg. West Wing, 5-27, Mita 3-Chome, Minato-ku , Tokyo 108-6321, Japan"
"Nippon Paper Industries Co., Ltd.",Pulp and paper,"13,052 (consolidated ) (as of March 31, 2013)",http://www.nipponpapergroup.com/e/index.html,"Yoshio Haga, ( CEO and President )","$ 10.905 billion USD ( FY 2012)
                   (¥ 1,025 billion JPY ) ( FY 2012)","(August 1, 1949 ( 1949-08-01 ) )","4-6, Kanda-Surugadai , Chiyoda-ku , Tokyo 101-0062, Japan"
"Nippon Paint Holdings Co., Ltd.",Chemicals,"16,498 (as of March 31, 2016)",http://www.nipponpaint-holdings.com/en/index.html,Tetsushi Tado ( President ) Goh Hup Jin (Chairman),"JPY 535.74 billion ( FY 2015)
                        ( US$ 4.46 billion) (FY 2015)","March 14, 1881 ; 138 years ago ( 1881-03-14 )","Oyodo Kita, Kita-ku , Osaka 531-8511 , Japan"
"Nippon Light Metal Holdings Co., Ltd.",Non-ferrous metal Chemicals,"10,392 (as of March 2013) [2]",http://www.nikkeikinholdings.com/index.html,"Takashi Ishiyama, ( CEO and President )","$ 3.954 billion USD ( FY 2012)
                             (¥  371.88 billion JPY ) ( FY 2012)","March 30, 1939 (as Nippon Light Metal Company) October 1, 2012 (as holding company - Nippon Light Metal Holdings)","2-2-20 Higashi-shinagawa, Shinagawa-ku , Tokyo , Japan"
"Nippon Kayaku Co., Ltd.","Chemicals , Pharmaceuticals","1,879 (non-consolidated), 5,174 (consolidated) (as of March 31, 2015)",http://www.nipponkayaku.co.jp/english/,Masanobu Suzuki ( President ),"JPY 161.8 billion ( FY 2014)
                        ( US$ 1.34 billion) (FY 2014)","Tokyo , Japan (June 5, 1916 ; 103 years ago ( 1916-06-05 ) )","Tokyo Fujimi Bldg., 11-2, Fujimi 1-chome, Chiyoda-ku , Tokyo 102-8172, Japan"
"Nippon Flour Mills Company, Limited",Food,"3,700 (consolidated, as of March 31, 2018)",http://www.e-nippn.com/index.php,Hiroshi Sawada ( Chairman and CEO ) Masayuki Kondo ( President and COO ),"JPY 323.4 billion ( FY 2017)
                      ( US$ 3.05 billion) (FY 2017)",26 September 1896 ; 123 years ago ( 1896-09-26 ),"Kōjimachi , Chiyoda-ku, Tokyo 102-0083 , Japan"
Nippon Steel Corporation,Steel,"92,309 (2017) [1]",https://www.nipponsteel.com/en/index.html/,"Akio Mimura , Representative Director & President",¥ 4.632 trillion (2017) [1],1950 ; 69 years ago ( 1950 ),"Chiyoda , Tokyo , Japan"
Nippon Express,Logistics,,http://www.nipponexpress.com/,,,1937,"Tokyo , Japan"
Nippon Chemi-Con Corporation,Electronics,"6,772 (consolidated, as of March 31, 2017)",http://www.chemi-con.co.jp/e/,Ikuo Uchiyama ( President and CEO ),,as Satoh Denki Kogyosho (August 1931 ; 88 years ago ( 1931-08 ) ),"Osaki , Shinagawa -ku, Tokyo 141-8605, Japan"
