Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
ASICS Corporation,Sportswear <r> Sports equipment,"8,823 (2018) [2]","https://www.asics.com/,https://www.wikidata.org/wiki/Q327247#P856",Kiyomi Wada ( Chairman ),¥ 386.66 billion (2018) [1],1949 ; 70 years ago ( 1949 ),"Kobe, Japan"
Asahi Kasei Corporation,Chemical industry,"34,670 (consolidated, as of March 31, 2018)",http://www.asahi-kasei.co.jp/asahi/en/,Hideki Kobori ( President ),"$ 18.5 billion ( FY 2014)
                   ( ¥ 1,897 billion) (FY 2014)","May 21, 1931 ; 88 years ago ( 1931-05-21 )","Hibiya Mitsui Tower, 1-1-2 Yurakucho , Chiyoda , Tokyo 100-0006 Japan"
Bandai Namco Holdings Inc.,Entertainment,"7,871 [2] (2018)",http://www.bandainamco.co.jp/en/,Shukuo Ishikawa (Chairman) Mitsuaki Taguchi (President),¥678.312 billion [1] (2017),"Tokyo , Japan September 29, 2005 ( 2005-09-29 )","Shinagawa, Tokyo , Japan"
"Asahi Group Holdings, Ltd.",Beverage,,http://www.asahigroup-holdings.com/en/,Naoki Izumiya (President and CEO),¥ 2.120 trillion (2018) [1],1889 ; 130 years ago ( 1889 ),"Sumida, Tokyo , Japan"
"Autobacs Seven Co., Ltd.",,,"http://www.autobacs.co.jp/,https://www.wikidata.org/wiki/Q7886426?uselang=en#P856",Setsuo Wakuda ( Chairman and CEO ),,"Fukushima-ku , Osaka , Japan (1947)","Toyosu, Koto , Tokyo , Japan"
Astellas Pharma Inc.,Pharmaceutical,"17,217 (2016) [2]",http://www.astellas.com/en/,Kenji Yasukawa ( President and CEO ),"US$ 11,060,000,000 ( FY 2013)",1 April 2005 ; 14 years ago ( 2005-04-01 ),"2-5-1, Nihonbashi-Honcho, Chūō-ku , Tokyo 103-8411, Japan"
"Aozora Bank, Ltd. ",Money Center Banks,"1,359 (Bank only) [5]",http://www.aozorabank.co.jp/,Brian F. Prince (Chairman) Shinsuke Baba (President and CEO) [3],,April 1957 ; 62 years ago ( 1957-04 ) [1],"Chiyoda, Tokyo [2] , Japan"
AOC Holdings (now known as Fuji Oil Company),oil and natural gas,"FOC only: 441 (as of March 31, 2016)  
Consolidated: 657 (as of March 31, 2016) [4]",http://www.foc.co.jp,"Fumio Sekiya (Chairman and Representative Director)
                   Atsuo Shibota (President and Representative Director)",425.5 billion Yen [1],2003,"Tokyo , Japan"
Anritsu Corporation,Electronics,"3,717 (consolidated, as of March 31, 2018)",http://anritsu.com,Hirokazu Hashimoto ( Chairman and CEO ) Hirokazu Hamada ( President ),"JPY 85.9 billion ( FY 2017)
                      ( US$ 809 million) (FY 2017)",1895 ; 124 years ago ( 1895 ) as Sekisan-sha,"Atsugi , Kanagawa Prefecture , 243-8555 , Japan [1]"
"Anicom Holdings, Inc.",Insurance,287 (2010),http://www.anicom-sompo.co.jp/,Nobuaki Komori (President & CEO),"JPY 334,623 million ( FY 2009)","July 5, 2000","Shinjuku , Tokyo, Japan"
"The Aomori Bank, Ltd. ",Banking Financial Services,"1,481",http://a-bank.jp,"Akio Ibata (Chairman) , Yoshisada Kafuku (President)",,"Hirosaki, Aomori , Japan","Aomori , Japan (October 1, 1943)"
"Amuse, Inc.",Fashion,"264 (385 in Amuse Group) [4] As of March 31, 2017 [1]","http://www.amuse.co.jp/,https://www.wikidata.org/wiki/Q719628?uselang=en#P856","Yokichi Osato (Founder, Representative Director and Chairman ) Masaki Nakanishi (Representative Director , President ) [2]","¥50,647 million (2017)","October 16, 1978 [1]","Shibuya, Tokyo , Japan"
Anest Iwata Corporation,Machinery,"1,292 (consolidated, as of September 2014)",http://www.anest-iwata.co.jp/english/index.html,Takahiro Tsubota ( President ),"JPY 25.4 billion ( FY 2013)
                        ( US$ 247.1 million) (FY 2013)",(May 1926 ; 93 years ago ( 1926-05 ) ),"Kōhoku-ku, Yokohama 223-8501, Japan"
"Bank of Kyoto, Ltd.","Banking , Financial services","3,428 (2017)","http://www.kyotobank.co.jp/,https://www.wikidata.org/wiki/Q11375713?uselang=en#P856",Nobuhiro Doi (President),US$984 million (2016),"October 1, 1941 ; 78 years ago ( 1941-10-01 ) in Fukuchiyama, Kyoto","Shimogyo-ku , Kyoto , Japan"
"Amada Co,. Ltd.",Manufacturing,"7,678 (2013)",http://www.amada.co.jp/english/index.html,,€2.1 billion (2013) [1],May 1946 ; 73 years ago ( 1946-05 ),"Kanagawa , Japan"
"Alps Electric Co., Ltd. ",Electronics,"36,199 (as of the end of March 2013)",http://www.alps.com,"Toshihiro Kuriyama, ( President ) Masataka Kataoka, ( Chairman )","US$ 5.806 billion ( FY 2012)
                   ( ¥ 546.423 billion) (FY 2012)","1 November 1948 ; 70 years ago ( 1948-11-01 ) (as Kataoka Electric Co., Ltd.)","1-7 Yukigaya-otsuka-machi, Ota , Tokyo 145-8501, Japan"
Allied Telesis Holdings K.K.,Networking hardware,"1,621 (consolidated, as of December 31, 2017)",http://www.at-global.com/en/index.html,Takayoshi Oshima ( Chairman and CEO ),"JPY 28.39 billion ( FY 2018)
                      ( US$ 262 million) (FY 2017)","March 1987, 09 ; 32 years ago ( 09-03-1987 )","Nishi-Gotanda, Shinagawa-ku, Tokyo 141-0031 , Japan"
"Akebono Brake Industry Co., Ltd.",Automotive,"9,238 (consolidated, as of March 2016)",http://www.akebono-brake.com/english/index.html,"Hisataka Nobumoto ( Chairman , President and CEO )","JPY 281.3 billion ( FY 2015)
                        ( US$ 2.44 billion) (FY 2015)",(27 January 1929 ; 90 years ago ( 1929-01-27 ) ),"Nihonbashi , Chuo-ku, Tokyo ( Tokyo headquarters ) Hanyu City, Saitama ( Ai-City headquarters )"
The Bank of Iwate Co Ltd ,Banking Financial Services,"1,492",http://www.iwatebank.co.jp,Masahiro Takahashi (President),US$ 427 million (2016),,"Morioka, Iwate , Japan"
"Ajinomoto Co., Inc.",Food industry,"32,734 (2017) [1]",http://www.ajinomoto.com/,Takaaki Nishii (President & Chief Executive Officer),"¥ 1,127 billion (FY 2018) [1]",17 June 1917 ; 102 years ago ( 1917-06-17 ) (as S. Suzuki & Co. Ltd.),"Chūō, Tokyo , Japan"
Aisin Seiki Corporation,Automotive,"100,000",http://www.aisin.com/,Kiichiro Toyoda: Founder Kanshiro Toyoda: Chairman Fumio Fujimori: President,"¥ 3,243.178 billion (2016) [1]",1949 ; 70 years ago ( 1949 ) (as Tokai Aircraft Company),"Kariya, Aichi , Japan"
All Nippon Airways,,,https://www.ana.co.jp/,Shinya Katanozaka ( Chairman ) Yuji Hirako ( President & CEO ),¥ 1.7652 trillion (2016),27 December 1952 ; 66 years ago ( 1952-12-27 ),"Shiodome City Center Minato, Tokyo , Japan [2]"
"The Akita Bank, Ltd. ",Banking Financial Services,"1,481",http://akita-bank.co.jp,Takao Minatoya (President),,"Akita , Japan","Akita , Japan (October 20, 1941)"
