title,industry,address,website
EXMAR,"2000, Industrials","Exmar De Gerlachekaai 20 BE-2000 Antwerpen, Antwerpen Belgium",http://www.exmar.be
AGEAS,"8000, Financials","ageas SA/NV Rue du Marquis 1 BE-1000 Bruxelles, Bruxelles-Capitale Belgium",http://www.ageas.com
NYRSTAR,"1000, BasicMaterials","Nyrstar Zinkstraat 1 BE-2490 Balen, Antwerpen Belgium",http://www.nyrstar.com
COFACE,"8000, Financials",Coface 1 Place Costes et Bellonte FR-92270 Bois-Colombes France,https://www.coface.com/fr
COVIVIO,"8000, Financials",Covivio 18 Avenue François Mitterrand FR-57000 Metz France,https://www.covivio.eu/fr/
ECONOCOM GROUP,"9000, Technology","Econocom Group SE Parc Horizon Chaussée de Louvain 510/B80 BE-1930 Zaventem, Vlaams-Brabant Belgium",http://www.econocom.com
GENSIGHT BIOLOGICS,"4000, HealthCare",GenSight Biologics 74 Rue du Faubourg Saint-Antoine FR-75012 Paris France,http://www.gensight-biologics.com
DRONE VOLT,"2000, Industrials",Drone Volt 14 Rue de la Perdrix FR-93420 Villepinte France,http://www.dronevolt.com
ARCHOS,"3000, ConsumerGoods",ARCHOS Zone Industrielle 12 Rue Ampère FR-91430 Igny France,http://www.archos.com
NEXANS,"2000, Industrials",Nexans 4 Allée de l&#039;Arche FR-92400 Courbevoie France,http://www.nexans.com
RUBIS,"7000, Utilities",Rubis 46 Rue Boissière FR-75116 Paris France,http://www.rubis.fr
METROPOLE TV,"5000, Consumer Services",M6 Métropole Télévision 89 Avenue Charles de Gaulle FR-92200 Neuilly-sur-Seine France,http://www.groupem6.fr/finance/presentations-finan
POXEL,"4000, HealthCare",Poxel Immeuble Le Sunway 259/261 Avenue Jean Jaurès FR-69007 Lyon France,http://www.poxel.com
X-FAB,"9000, Technology","X-FAB Silicon Foundries SE Transportstraat 1 BE-3980 Tessenderlo, Limburg Belgium",https://www.xfab.com/home/
IPSEN,"4000, HealthCare",Ipsen 65 Quai Georges Gorse FR-92100 Boulogne-Billancourt France,http://www.ipsen.com
VERALLIA,"2000, Industrials",Verallia Tour Carpe Diem 31 Place des Corolles FR-92400 Courbevoie France,https://www.verallia.com
ERAMET,"1000, BasicMaterials",Eramet Tour Maine-Montparnasse 10 Boulevard de Grenelle FR-75015 Paris France,https://www.eramet.com/fr/investisseurs
CLARANOVA,"9000, Technology",Claranova Immeuble Vision Défense 89-91 Boulevard National FR-92250 La Garenne-Colombes France,https://claranova.fr
IMERYS,"1000, BasicMaterials",Imerys 43 Quai de Grenelle FR-75015 Paris France,http://www.imerys.com
NANOBIOTIX,"4000, HealthCare",Nanobiotix 60 Rue de Wattignies FR-75012 Paris France,http://www.nanobiotix.com
ORCHESTRA-PREMAMAN,"3000, ConsumerGoods",Orchestra-Prémaman ZAC Saint-Antoine 200 Avenue des Tamaris FR-34130 Saint-Aunès France,http://www.orchestra-kazibao.com
ILIAD,"6000, Telecommunications",Iliad 16 Rue de la FR-75008 Paris France,http://www.iliad.fr
GENFIT,"4000, HealthCare",GENFIT Parc Eurasanté 885 avenue Eugène Avinée 59120 Loos France,http://www.genfit.com
EVOLIS,"9000, Technology",Evolis ZI Angers Beaucouzé 14 Avenue de la Fontaine FR-49070 Beaucouzé France,https://fr.evolis.com/relations-investisseurs
GECINA NOM.,"8000, Financials",Gecina 16 Rue des Capucines FR-75084 Paris Cedex 02 France,http://www.gecina.fr
DBT,"2000, Industrials",DBT Parc Horizon 2000 Rue Jean Monnet FR-62117 Brebières France,http://www.dbt.fr
THE BLOCKCHAIN GP,"5000, Consumer Services",The Blockchain Group 8 Rue Barthelemy Danjou FR-92100 Boulogne-Billancourt France,https://theblockchain-group.com/investors/
SOITEC,"9000, Technology",Soitec Parc Technologique des Fontaines Chemin des Franques FR-38190 Villard-Bonnot France,https://www.soitec.com/fr/investisseurs
AMUNDI,"8000, Financials",Amundi 91-93 Boulevard Pasteur FR-75015 Paris France,http://www.amundi.com
BIC,"3000, ConsumerGoods",Bic 14 Rue Jeanne-d Asnières FR-92611 Clichy Cedex France,http://www.bicworld.com
AGFA-GEVAERT,"2000, Industrials","Agfa-Gevaert Septestraat 27 BE-2640 Mortsel, Antwerpen Belgium",http://www.agfa.com
KBC,"8000, Financials","KBC Groupe Avenue du Port 2 BE-1080 Bruxelles, Bruxelles-Capitale Belgium",https://www.kbc.com
UCB,"4000, HealthCare","UCB Allée de la Recherche 60 BE-1070 Bruxelles, Bruxelles-Capitale Belgium",http://www.ucb.com
PROXIMUS,"6000, Telecommunications","Proximus Boulevard du Roi Albert II 27B BE-1030 Bruxelles, Bruxelles-Capitale Belgium",https://proximus.com
AB INBEV,"3000, ConsumerGoods","Anheuser-Busch InBev Brouwerijplein 1 BE-3000 Leuven, Vlaams-Brabant Belgium",http://www.ab-inbev.com
UMICORE,"1000, BasicMaterials","Umicore Rue du Marais 31 BE-1000 Bruxelles, Bruxelles-Capitale Belgium",http://www.umicore.com
CRESCENT,"9000, Technology","Crescent NV Gaston Geenslaan 14 BE-3001 Heverlee, Leuven, Vlaams-Brabant Belgium",https://www.option.com/
EURONAV,"2000, Industrials","Euronav NV De Gerlachekaai 20 BE-2000 Antwerpen, Antwerpen Belgium",https://www.euronav.com
ARKEMA,"1000, BasicMaterials",Arkema 420 Rue d&#039; FR-92700 Colombes France,http://www.arkema.com
KKO INTERNATIONAL,"3000, ConsumerGoods",KKO International 9 Avenue Bugeaud FR-75116 Paris France,http://www.kko-international.com
ELIOR GROUP,"5000, Consumer Services",Elior Group 9-11 Allée de l&#039;Arche FR-92032 Paris La Défense Cedex France,https://www.eliorgroup.com/
ORPEA,"4000, HealthCare",Orpéa 12 Rue Jean Jaurès FR-92813 Puteaux Cedex France,http://www.orpea-corp.com
MAISONS DU MONDE,"3000, ConsumerGoods",Maisons du Monde Le Portereau Route du Port Aux Meules FR-44120 Vertou France,http://www.maisonsdumonde.com
EIFFAGE,"2000, Industrials",Eiffage 3-7 Place de l&#039;Europe FR-78140 Vélizy-Villacoublay France,https://www.eiffage.com/
BIOPHYTIS,"4000, HealthCare",Biophytis 14 Avenue de l&#039;Opéra FR-75001 Paris France,http://www.biophytis.com
INGENICO GROUP,"9000, Technology",Ingenico Group 28-32 Boulevard de Grenelle FR-75015 Paris France,http://www.ingenico.com
AUPLATA MINING GR,"1000, BasicMaterials","Auplata Mining Group Zone Industrielle de Dégrad des Cannes – Immeuble Simeg FR-97354 Remire-Montjoly, Guyane France",https://auplatamininggroup.com/fr/
SMCP,"3000, ConsumerGoods",SMCP S.A 49 Rue Etienne Marcel FR-75001 Paris France,http://www.smcp.com
KORIAN,"4000, HealthCare",Korian 21-25 Rue Balzac FR-75008 Paris France,http://www.korian.com
CASINO GUICHARD,"5000, Consumer Services",Casino Guichard-Perrachon 1 Cours Antoine Guichard BP 306 FR-42008 Saint-Etienne France,https://www.groupe-casino.fr/
AMPLITUDE SURGICAL,"4000, HealthCare",Amplitude Surgical 11 Cours Jacques Offenbach FR-26000 Valence France,http://www.amplitude-ortho.com
MAUNA KEA TECH,"4000, HealthCare",Mauna Kea Technologies 9 Rue d&#039;Enghien FR-75010 Paris France,http://www.maunakeatech.com
DBV TECHNOLOGIES,"4000, HealthCare",DBV Technologies 177-181 Avenue Pierre Brossolette FR-92120 Montrouge France,https://www.dbv-technologies.com/
KERING,"5000, Consumer Services",Kering 40 Rue de Sèvres FR-75007 Paris France,https://www.kering.com/fr/
JC DECAUX SA.,"5000, Consumer Services",JCDecaux 17 Rue Soyer BP 11 FR-92523 Neuilly-sur-Seine Cedex France,http://www.jcdecaux.com
SODEXO,"5000, Consumer Services",Sodexo 255 Quai de la Bataille de Stalingrad FR-92866 Issy-les-Moulineaux France,http://www.sodexo.com
EKINOPS,"2000, Industrials",Ekinops 3 Rue Blaise Pascal FR-22300 Lannion France,https://www.ekinops.com/fr/investisseurs
ST DUPONT,"3000, ConsumerGoods",ST Dupont 92 Boulevard du Montparnasse FR-75014 Paris France,https://www.st-dupont.com/finances_fr
SOLUTIONS 30 SE,"9000, Technology",Solutions 30 SE 6 Rue Dicks LU-1417 Luxemburg Luxembourg,http://www.solutions30.com
NEOLIFE,"2000, Industrials",Neolife Celtic Parc Bâtiment Avalon II 304 Route Nationale 6 FR-69760 Limonest France,http://neolife-solutions.com
MERCIALYS,"8000, Financials",Mercialys 16-18 Rue du Quatre-Septembre FR-75002 Paris France,http://www.mercialys.com
SOLVAY,"1000, BasicMaterials","Solvay Rue de Ransbeek 310 BE-1120 Bruxelles, Bruxelles-Capitale Belgium",http://www.solvay.com
QUANTUM GENOMICS,"4000, HealthCare",Quantum Genomics 33 Rue Marbeuf FR-75008 Paris France,http://www.quantum-genomics.com
WORLDLINE,"2000, Industrials",Worldline Immeuble River Ouest 80 Quai Voltaire FR-95870 Bezons France,http://worldline.com
PLASTIC OMNIUM,"3000, ConsumerGoods",Plastic Omnium 19 Boulevard Jules Carteret FR-69007 Lyon France,http://www.plasticomnium.com
ALTRAN TECHN.,"9000, Technology",Altran Technologies 96 Avenue Charles de Gaulle FR-92200 Neuilly-sur-Seine France,http://www.altran.com
EDENRED,"2000, Industrials",Edenred Immeuble Colombus 166-180 Boulevard Gabriel Péri FR-92240 Malakoff France,https://www.edenred.com/fr
DERICHEBOURG,"2000, Industrials",Derichebourg 119 Avenue du Général Michel Bizot FR-75579 Paris Cedex 12 France,https://www.derichebourg.com/fr/accueil
NOKIA,"9000, Technology",Nokia Oyj Karakaari 7 PO Box 226 FI-02610 Espoo Finland,https://www.nokia.com/about-us/investors/
PERNOD RICARD,"3000, ConsumerGoods",Pernod Ricard 12 Place des Etats-Unis FR-75783 Paris Cedex 16 France,http://www.pernod-ricard.com
UBISOFT ENTERTAIN,"3000, ConsumerGoods",Ubisoft Entertainment 107 Avenue Henri Fréville FR-35207 Rennes Cedex 2 France,http://www.ubisoftgroup.com
ELIS,"2000, Industrials",Elis 5 Boulevard Louis Loucheur FR-92210 Saint-Cloud France,https://corporate-elis.com/relations-investisseurs
EUROPCAR MOBILITY,"5000, Consumer Services",Europcar Mobility Group 13 ter Boulevard Berthier FR-75017 Paris France,https://europcar-mobility-group.com
DASSAULT SYSTEMES,"9000, Technology",Dassault Systèmes 10 Rue Marcel Dassault BP 310 FR-78140 Vélizy-Villacoublay France,https://www.3ds.com/
INNATE PHARMA,"4000, HealthCare",Innate Pharma 117 Avenue de Luminy BP 30191 FR-13009 Marseille France,http://www.innate-pharma.com
SPIE,"2000, Industrials",SPIE 10 Avenue de l&#039;Entreprise FR-95863 Cergy-Pontoise Cedex France,http://www.spie.com/en/finance-en
MICHELIN,"3000, ConsumerGoods",Michelin 23 Place des Carmes-Déchaux FR-63040 Clermont-Ferrand Cedex 9 France,http://www.michelin.com
SCOR SE,"8000, Financials",Scor SE 5 Avenue Kléber FR-75795 Paris France,http://www.scor.com
LAGARDERE S.C.A.,"5000, Consumer Services",Lagardère 4 Rue de Presbourg FR-75116 Paris France,http://www.lagardere.com
CNP ASSURANCES,"8000, Financials",CNP Assurances 4 Place Raoul Dautry FR-75716 Paris Cedex 15 France,https://www.cnp.fr/
EOS IMAGING,"4000, HealthCare",EOS Imaging 10 Rue Mercoeur FR-75011 Paris France,https://www.eos-imaging.com/
GENOMIC VISION,"4000, HealthCare","Genomic Vision Green Square, Batiment E 80-84 Rue des Meuniers FR-92220 Bagneux France",http://www.genomicvision.com
GAUSSIN,"2000, Industrials",Gaussin 11 Rue du 47eme Regiment d Artillerie FR-70400 Héricourt France,http://www.gaussin.com
THALES,"2000, Industrials",Thales Tour Carpe Diem 31 Place des Corolles FR-92400 Courbevoie France,http://www.thalesgroup.com
CAPGEMINI,"9000, Technology",Capgemini SE 11 Rue de Tilsitt FR-75017 Paris France,https://www.capgemini.com/
LEGRAND,"2000, Industrials",Legrand 128 Avenue de Lattre de Tassigny FR-87045 Limoges Cedex France,http://www.legrand.com
ESSILORLUXOTTICA,"4000, HealthCare",EssilorLuxottica 147 Rue de Paris FR-94220 Charenton-Le-Pont France,https://www.essilorluxottica.com
EUTELSAT COMMUNIC.,"5000, Consumer Services",Eutelsat Communications 70 Rue Balard FR-75015 Paris France,http://www.eutelsat-communications.com
ALSTOM,"2000, Industrials",Alstom 48 Rue Albert Dhalenne FR-93400 Saint-Ouen France,http://www.alstom.com
L''OREAL,"3000, ConsumerGoods",L&#039;Oréal 14 Rue Royale FR-75008 Paris France,http://www.loreal-finance.com
FAURECIA,"3000, ConsumerGoods",Faurecia 23-27 Avenue des Champs Pierreux FR-92000 Nanterre France,http://www.faurecia.com
HYBRIGENICS,"4000, HealthCare",Hybrigenics 3-5 Impasse Reille FR-75014 Paris France,http://www.hybrigenics.com
ATOS,"9000, Technology",AtoS River Ouest 80 Quai Voltaire FR-95870 Bezons France,https://atos.net/fr/
TECHNICOLOR,"5000, Consumer Services",Technicolor 8-10 Rue du Renard FR-75004 Paris France,http://www.technicolor.com
BUREAU VERITAS,"2000, Industrials",Bureau Veritas SA Immeuble Newtime 40/52 Boulevard du Parc FR-92200 Neuilly-sur-Seine France,https://group.bureauveritas.com/fr
ACCOR,"5000, Consumer Services",Accor 82 Rue Henri Farman FR-92130 Issy-les-Moulineaux France,https://group.accor.com
KLEPIERRE,"8000, Financials",Klépierre 26 Boulevard des Capucines CS 20062 FR-75009 Paris France,http://www.klepierre.com
TF1,"5000, Consumer Services",TF1 1 Quai du Point du Jour FR-92100 Boulogne-Billancourt France,http://www.groupe-tf1.fr
SAFRAN,"2000, Industrials",Safran 2 Boulevard du Général Martial Valin FR-75015 Paris France,http://www.safran-group.com
LVMH,"3000, ConsumerGoods",LVMH Moët Hennessy Vuitton SE 22 Avenue Montaigne FR-75008 Paris France,http://www.lvmh.fr
ACHETER-LOUER.FR,"5000, Consumer Services",Acheter-Louer.fr Activités de Courtaboeuf - Parc Technopolis 3 Avenue du Canada FR-91940 Les Ulis France,http://www.acheter-louer.fr
AIR LIQUIDE,"1000, BasicMaterials",Air Liquide 75 Quai d&#039;Orsay FR-75321 Paris Cedex 07 France,http://www.airliquide.com
BIOM UP SA,"4000, HealthCare",Biom&#039;Up 8 Allée Irene Joliot Curie FR-69800 Saint-Priest France,http://www.biomup.com/fr
ATARI,"3000, ConsumerGoods",Atari 25 Rue Godot de Mauroy FR-75009 Paris France,http://www.atari-investisseurs.fr
SES,"5000, Consumer Services",SES Château de Betzdorf LU-6815 Betzdorf Luxembourg,http://www.ses.com
AIRBUS,"2000, Industrials","Airbus SE 30 Mendelweg NL-2333 CS Leiden, Zuid-Holland Netherlands",http://www.airbus.com
TECHNIPFMC,"0001, Oil & Gas",TechnipFMC 1 Paul&#039;&#039;s Churchyard Street EC4M 8AP London United Kingdom,http://www.technipfmc.com/
DANONE,"3000, ConsumerGoods",Danone 17 Boulevard Haussmann FR-75009 Paris France,https://www.danone.com/
VEOLIA ENVIRON.,"7000, Utilities",Veolia Environnement 21 Rue La Boétie FR-75008 Paris France,http://www.veolia.com/fr
DELTA DRONE,"2000, Industrials",Delta Drone 8 Chemin du Jublin FR-69570 Dardilly France,http://www.deltadrone.com
REXEL,"2000, Industrials",Rexel 13 Boulevard du Fort de Vaux FR-75838 Paris Cedex 17 France,http://www.rexel.com
BOLLORE,"2000, Industrials",Bolloré Tour Bolloré 31-32 Quai de Dion Bouton FR-92811 Puteaux Cedex France,http://www.bollore.com
VINCI,"2000, Industrials",Vinci 1 Cours Ferdinand de Lesseps FR-92851 Rueil-Malmaison Cedex France,http://www.vinci.com
SUEZ,"7000, Utilities",Suez Tour CB 21 16 Place de l&#039;Iris FR-92040 Paris-la-Défense France,https://www.suez.com/fr
EDF,"7000, Utilities",Electricité de France 22-30 Avenue de Wagram FR-75008 Paris France,https://www.edf.fr/groupe-edf
SCHNEIDER ELECTRIC,"2000, Industrials",Schneider Electric SE 35 Rue Joseph Monier FR-92500 Rueil-Malmaison France,https://www.schneider-electric.com
VALEO,"3000, ConsumerGoods",Valeo 43 Rue Bayen FR-75848 Paris Cedex 17 France,http://www.valeo.com
NEOVACS,"4000, HealthCare",Neovacs 3-5 Impasse Reille FR-75014 Paris France,http://www.neovacs.fr
RENAULT,"3000, ConsumerGoods",Renault 13-15 Quai Le Gallo FR-92100 Boulogne-Billancourt France,https://group.renault.com/finance/
GETLINK SE,"2000, Industrials",Getlink 3 Rue la Boétie FR-75008 Paris France,https://www.getlinkgroup.com/fr/home/
BOUYGUES,"2000, Industrials",Bouygues 32 Avenue Hoche FR-75008 Paris France,http://www.bouygues.com
SOLOCAL GROUP,"5000, Consumer Services",SoLocal Group 204 Rond-Point du Pont de Sèvres FR-92100 Boulogne-Billancourt France,http://www.solocal.com
SANOFI,"4000, HealthCare",Sanofi 54 Rue la Boétie FR-75008 Paris France,http://www.sanofi.com
PEUGEOT,"3000, ConsumerGoods",Peugeot 7 Rue Henri Sainte-Claire Deville FR-92500 Rueil-Malmaison France,http://www.psa-peugeot-citroen.com
CARREFOUR,"5000, Consumer Services",Carrefour 93 Avenue de Paris FR-91300 Massy France,http://www.carrefour.com/fr/content/finance
VIVENDI,"5000, Consumer Services",Vivendi 42 Avenue de Friedland FR-75380 Paris Cedex 08 France,http://www.vivendi.com
PUBLICIS GROUPE SA,"5000, Consumer Services",Publicis Groupe 133 Avenue des Champs-Elysées FR-75008 Paris France,http://www.publicisgroupe.com
CGG,"0001, Oil & Gas",CGG 27 Avenue Carnot FR-91300 Massy France,https://www.cgg.com/en
GECI INTL,"9000, Technology",GECI International 37-39 Rue Boissière FR-75116 Paris France,http://www.geci.net
BNP PARIBAS ACT.A,"8000, Financials",BNP Paribas 16 Boulevard des Italiens FR-75009 Paris France,http://www.bnpparibas.com
SOCIETE GENERALE,"8000, Financials",Société Générale 29 Boulevard Haussmann FR-75009 Paris France,http://www.societegenerale.com
AVENIR TELECOM,"9000, Technology",Avenir Telecom S.A. Les Rizeries 208 Boulevard de Plombières FR-13581 Marseille Cedex 20 France,http://www.avenir-telecom.com
STMICROELECTRONICS,"9000, Technology","STMicroelectronics 39 Chemin du Champ-des-Filles CH-1228 Plan-les-Ouates, Genève Switzerland",http://www.st.com
TOTAL,"0001, Oil & Gas",Total 2 Place Jean Millier FR-92078 Paris-la-Défense France,http://www.total.com
VALLOUREC,"2000, Industrials",Vallourec 27 Avenue du Général Leclerc FR-92100 Boulogne-Billancourt France,http://www.vallourec.fr
ENGIE,"7000, Utilities",ENGIE 1 Place Samuel de Champlain FR-92400 Courbevoie France,https://www.engie.com/
ORANGE,"6000, Telecommunications",Orange 78 Rue Olivier de Serres FR-75015 Paris France,http://www.orange.com
CREDIT AGRICOLE,"8000, Financials",Crédit Agricole 12 Place des Etats-Unis FR-92120 Montrouge France,http://www.credit-agricole-sa.fr
AXA,"8000, Financials",AXA 25 Avenue Matignon FR-75008 Paris France,http://www.axa.com
NATIXIS,"8000, Financials",Natixis 30 Avenue Pierre Mendès FR-75013 Paris France,http://www.natixis.com
VISIOMED GROUP,"4000, HealthCare",Visiomed Group 112 Avenue Kléber FR-75116 Paris France,https://visiomed-group.com
CYBERGUN,"3000, ConsumerGoods",Cybergun 40 Boulevard Henri Sellier FR-92150 Suresnes France,http://www.cybergun.com
SAFE ORTHOPAEDICS,"4000, HealthCare","Safe Orthopaedics Parc des Bellevues, Bâtiment le Californie Allée Rosa Luxemburg FR-95610 Éragny France",http://www.safeorthopaedics.com
EUROPLASMA,"2000, Industrials",Europlasma 471 Route de Cantgrit BP 23 FR-40110 Morcenx France,http://www.europlasma.com
SPINEWAY,"4000, HealthCare",Spineway SA Bâtiment 7 7 Allée du Moulin Berger FR-69130 Écully France,http://www.spineway.com/finance/?display=en
BRILL KON,"5000, Consumer Services","Brill NV 2 Plantijnstraat Po Box 9000 NL-2300 PA Leiden, Zuid-Holland Netherlands",https://brill.com/
ENVIPCO,"2000, Industrials",Envipco Holding N.V. 10 Arnhemseweg NL-3817 CH Amersfoort Netherlands,https://www.envipco.com/
HOLLAND COLOURS,"1000, BasicMaterials",Holland Colours NV 1 Halvemaanweg PO Box 720 NL-7323 RW Apeldoorn Netherlands,http://www.hollandcolours.com
CORE LABORATORIES,"0001, Oil & Gas","Core Laboratories NV Tower A, Level 9 913 Strawinskylaan NL-1077 XX Amsterdam Netherlands",https://www.corelab.com/
IEX GROUP NV,"3000, ConsumerGoods","IEX Group N.V. Zuidpark, 52 Spaklerweg NL-1114 AE Amsterdam Netherlands",http://www.iexgroup.nl
STERN GROEP,"5000, Consumer Services",Stern Groep 4th floor 6 Pieter Braaijweg PO Box 94949 NL-1090 GX Amsterdam Netherlands,http://www.sterngroep.nl
SNOWWORLD,"5000, Consumer Services",SnowWorld 30 Buytenparklaan NL-2717 AX Zoetermeer Netherlands,http://www.snowworld.com
NOVISOURCE,"2000, Industrials",Novisource N.V. Hoogoorddreef 56L 1101 BE Amsterdam Netherlands,http://www.novisource.nl
HYDRATEC,"2000, Industrials",Hydratec Industries NV 59B Nijverheidsweg Noord POBox 328 NL-3812 PK Amersfoort Netherlands,http://www.hydratec.nl
ORANJEWOUD A,"2000, Industrials",Oranjewoud 8 Antwerpseweg POBox 338 NL-2800 AH Gouda Netherlands,http://www.oranjewoudnv.nl
FNG NV,"3000, ConsumerGoods","FNG NV Bautersemstraat 68A BE-2800 Mechelen, Antwerpen Belgium",http://www.fng.eu
LAVIDE HOLDING,"9000, Technology",Lavide Holding N.V. 67 Herendreef NL-4527 AZ Aardenburg Netherlands,http://www.lavideholding.com
LUCASBOLS,"3000, ConsumerGoods",Lucas Bols N.V. 14 Paulus Potterstraat NL-1071 CZ Amsterdam Netherlands,http://www.lucasbols.com
EUROCASTLE INVEST.,"8000, Financials","Eurocastle Investment Limited Regency Court ,Glategny Esplanade St Peter Port GY1 1WW Guernsey, Channel Islands Guernsey",http://www.eurocastleinv.com
NEDAP,"2000, Industrials",Nedap N.V. 2 Parallelweg PO Box 6 NL-7141 DC Groenlo Netherlands,http://www.nedap.com
HUNTER DOUGLAS,"3000, ConsumerGoods","Hunter Douglas NV 2 Piekstraat PO Box 5072 NL-3071 EL Rotterdam, Zuid-Holland Netherlands",http://www.hunterdouglasgroup.com
ICT GROUP,"9000, Technology",ICT Group 9 Kopenhagen Postbus 121 NL-2993 LL Barendrecht Netherlands,http://www.ict.nl
KAS BANK,"8000, Financials",Kas Bank 500 De Entree PO Box 24001 NL-1101 EE Amsterdam Netherlands,http://www.kasbank.com
VALUE8,"8000, Financials",Value8 N.V. 33 Brediusweg PO Box 26 NL-1400 AA Bussum Netherlands,http://www.value8.com
PORCELEYNE FLES,"3000, ConsumerGoods",Porceleyne Fles 196 Rotterdamseweg Postbus 11 NL-2628 AR Delft Netherlands,http://www.royaldelft.com
CTAC,"9000, Technology",Ctac NV 11 Meerendonkweg PO Box 773 NL-5216 TZ Hertogenbosch Netherlands,http://www.ctac.nl
VIVORYON,"4000, HealthCare","Vivoryon Therapeutics AG Weinbergweg 22 DE-06120 Halle, Sachsen-Anhalt Germany",https://www.vivoryon.com
TETRAGON FIN GRP,"8000, Financials","Tetragon Financial Group 1st Floor, Dorey Court Admiral Park GY1 6HJ St. Peter Port, Guernsey, Channel Islands United Kingdom",http://www.tetragoninv.com
DGB GROUP N.V.,"2000, Industrials",DGB Group N.V. 1a Lange Spruit NL-7773 NE Hardenberg Netherlands,https://dgbgroup.nl/investor-relations/
RETAIL ESTATES,"8000, Financials","Retail Estates Industrielaan 6 BE-1740 Ternat, Vlaams-Brabant Belgium",http://www.retailestates.com
AJAX,"5000, Consumer Services",AFC Ajax 29 Boulevard Arena Po Box 12522 NL-1101 AX Amsterdam Netherlands,http://www.ajax.nl
HAL TRUST,"8000, Financials",Hal Trust 5 Avenue des Citronniers MC-98000 Monaco Cedex Monaco,http://www.halholding.com
AND INTERNATIONAL,"5000, Consumer Services",AND International Publishers N.V. 9th floor 75 Rivium Quandrant NL-2909 LC Capelle aan den Ljssel Netherlands,http://www.and.com
DUTCH STAR C SHAR,"8000, Financials",Dutch Star Companies ONE N.V. 2E Hondecoeterstraat NL-1071 LR Amsterdam Netherlands,https://www.dutchstarcompanies.com/home.html
SLIGRO FOOD GROUP,"5000, Consumer Services",Sligro Food Group 11 Corridor PO Box 47 NL-5460 AA Veghel Netherlands,http://www.sligrofoodgroup.com
NEWAYS ELECTRONICS,"2000, Industrials",Neways Electronics International 5010 Science Park Eindhoven PO Box 69 NL-5690 AB Son Netherlands,http://www.neways.nl
ALFEN,"2000, Industrials",Alfen 28 Hefbrugweg PO Box 1042 NL-1332 AP Almere Netherlands,https://alfen.com/en
FASTNED,"5000, Consumer Services",Fastned B.V. 77-79 James Wattstraat NL-1097 DL Amsterdam Netherlands,https://fastned.nl/en
ACCELL GROUP,"3000, ConsumerGoods",Accell Group 4 Industrieweg Po Box 435 NL-8444 AR Heerenveen Netherlands,http://www.accell-group.com
EASE2PAY NV,"3000, ConsumerGoods","Ease2pay N.V. 16 Marconistraat NL-3029 AK Rotterdam, Zuid-Holland Netherlands",https://investor.ease2pay.eu/
KENDRION,"2000, Industrials",Kendrion N.V. Vesta Building - 5th floor 213 Herikerbergweg NL-1101 CN Amsterdam Netherlands,http://www.kendrion.com
NEW SOURCES ENERGY,"9000, Technology","New Sources Energy 11 Schothosterlaan NL-3822 NA Amersfoort, Utrecht Netherlands",http://www.newsourcesenergy.com
VASTNED,"8000, Financials",Vastned Retail N.V. 7 de Boelelaan PO Box 22276 NL-1100 CG Amsterdam Netherlands,http://www.vastned.com
COCA-COLA EUROPEAN,"3000, ConsumerGoods","Coca-Cola European Partners plc Pemberton House 20-22 Bakers Road UB8 1EZ Uxbridge, Greater London United Kingdom",https://www.ccep.com
SIF HOLDING,"0001, Oil & Gas",Sif Group 33 Mijnheerkensweg PO Box 522 NL-6040 AM Roermond Netherlands,http://sif-group.com/en/
VOLTA FINANCE,"8000, Financials","Volta Finance BNP Paribas House St Julian s Avenue, St Peter Port GY1 1WG Guernsey, Channel Islands Guernsey",http://www.voltafinance.com
MKB Nedsense,"9000, Technology",NedSense Enterprises n.v. 2B Laanakkerweg PO Box 44 NL-4131 PA Vianen Netherlands,http://www.nedsense.com/english/default.asp
AMSTERDAM COMMOD.,"3000, ConsumerGoods","Amsterdam Commodities N.V. WTC - 10th floor 37 Beursplein PO Box 30156 NL-3001 DD Rotterdam, Zuid-Holland Netherlands",http://www.acomo.nl
V LANSCHOT KEMPEN,"8000, Financials",Van Lanschot Kempen 29 Hooge Steenweg Po Box 1021 NL-5200 HC Hertogenbosch Netherlands,https://www.vanlanschotkempen.com/en
DPA GROUP,"2000, Industrials",DPA Group NV 11 Gatwickstraat NL-1043 GL Amsterdam Netherlands,http://www.dpa.nl
CORBION,"3000, ConsumerGoods",Corbion N.V 127 Piet Heinkade PO Box 349 NL-1019 GM Amsterdam Netherlands,http://www.corbion.com/
WDP,"8000, Financials","Warehouses De Pauw Blakebergen 15 BE-1861 Wolvertem, Meise, Vlaams-Brabant Belgium",http://www.wdp.be
MAREL,"2000, Industrials",Marel hf. 9 Austurhraun IS-210 Gardabaer Iceland,https://marel.com/
ACCSYS,"2000, Industrials",Accsys Technologies PLC Brettenham House 19 Lancaster Place WC2E 7EN London United Kingdom,http://www.accsysplc.com
BASIC-FIT,"5000, Consumer Services",Basic-Fit NV 60 Wegalaan NL-2132 JC Hoofddorp Netherlands,http://corporate.basic-fit.com
B&S Group,"5000, Consumer Services",B&S Group 14 Rue de Strachen LU-6933 Mensdorf Luxembourg,https://www.bs-group-sa.com
WESSANEN,"3000, ConsumerGoods","Wessanen Atlas Arena - Asïa building, 2nd floor 5 Hoogoorddreef PO Box 12795 NL-1101 BA Amsterdam Netherlands",http://www.wessanen.com
