title,industry,address,website
SEQUANA MEDICAL,"4000, HealthCare","Sequana Medical Technologiepark 122 BE-9052 Zwijnaarde, Gent, Oost-Vlaanderen Belgium",https://www.sequanamedical.com
IEP INVEST,"2000, Industrials","Iep Invest Noorderlaan 139 BE-2030 Antwerpen, Antwerpen Belgium",http://www.iepinvest.be
VOLKSWAGEN,"3000, ConsumerGoods",Volkswagen PO Box 1970 DE-38436 Wolfsburg Germany,http://www.volkswagen-group.com
VRANKEN-POMMERY,"3000, ConsumerGoods",Vranken-Pommery Monopole 5 Place Général Gouraud BP 1049 FR-51689 Reims Cedex 2 France,http://www.vrankenpommery.fr
GLOBAL GRAPHICS,"9000, Technology","Global Graphics 2030 Cambourne Business Park CB2 36DW Cambridge, Cambridgeshire United Kingdom",http://www.globalgraphics.com
CENERGY,"2000, Industrials","Cenergy Holdings SA Avenue Marnix 30 BE-1000 Bruxelles, Bruxelles-Capitale Belgium",http://www.cenergyholdings.com
ADVICENNE,"4000, HealthCare",Advicenne 2 Rue Briconne FR-30000 Nîmes France,http://advicenne.com
PICANOL,"2000, Industrials","Picanol Steverlyncklaan 15 BE-8900 Ieper, West-Vlaanderen Belgium",http://www.picanolgroup.com
LEASINVEST,"8000, Financials","Leasinvest Real Estate Schermersstraat 42 BE-2000 Antwerpen, Antwerpen Belgium",http://www.leasinvest.be/
TELEFONICA,"6000, Telecommunications",Telefonica Calle Ronda de la Comunicación 2 Distrito Telefónica - Edificio Central ES-28050 Madrid Spain,http://www.telefonica.com
ENI,"0001, Oil & Gas","Eni SpA Piazza Ezio Vanoni 1 IT-20097 San Donato Milanese, Lombardia Italy",https://www.eni.com/en_IT/
SMARTPHOTO GROUP,"3000, ConsumerGoods","Smartphoto Group Kwatrechtsteenweg 160 BE-9230 Wetteren, Oost-Vlaanderen Belgium",https://www.smartphotogroup.com/
HOME INVEST BE.,"8000, Financials","Home Invest Belgium bte 11 Boulevard de la Woluwe 46 BE-1200 Bruxelles, Bruxelles-Capitale Belgium",http://www.homeinvestbelgium.be
CAMPINE,"1000, BasicMaterials","Campine nv Nijverheidsstraat 2 BE-2340 Beerse, Antwerpen Belgium",https://www.campine.com
ATENOR,"8000, Financials","ATENOR Avenue Reine Astrid 92 BE-1310 La Hulpe, Brabant wallon Belgium",http://www.atenor.be
DEXIA,"8000, Financials","Dexia Bastion Tower Place du Champ de Mars 5 BE-1050 Bruxelles, Bruxelles-Capitale Belgium",http://www.dexia.com
TER BEKE,"3000, ConsumerGoods","Ter Beke Beke 1 BE-9950 Waarschoot, Oost-Vlaanderen Belgium",http://www.terbeke.com
SOFTIMAT,"9000, Technology","Softimat Chaussée de Louvain 435 BE-1380 Lasne-Chapelle-Saint-Lambert, Lasne, Brabant wallon Belgium",http://www.softimat.be
JENSEN-GROUP,"2000, Industrials","JENSEN-GROUP Bijenstraat 6 BE-9051 Sint-Denijs-Westrem, Gent, Oost-Vlaanderen Belgium",http://www.jensen-group.com
SIEMENS,,"Siemens AG Werner-von-Siemens-Strasse 1 DE-80333 München, Bayern Germany",http://www.siemens.com
AKKA TECHNOLOGIES,"2000, Industrials","AKKA Technologies SE 3rd - 4th floor Avenue Louise 143 BE-1000 Bruxelles, Bruxelles-Capitale Belgium",https://www.akka-technologies.com/fr
INVENTIVA,"4000, HealthCare",Inventiva 50 Rue de Dijon FR-21121 Daix France,http://www.inventivapharma.com
RESILUX,"2000, Industrials","Resilux Damstraat 4 BE-9230 Wetteren, Oost-Vlaanderen Belgium",http://www.resilux.com
ANTALIS,"1000, BasicMaterials",Antalis 8 Rue de Seine FR-92100 Boulogne-Billancourt France,https://www.antalis.com/finance/investisseurs/
SOPRA STERIA GROUP,"9000, Technology",Sopra Steria Group 9 bis Rue de Presbourg FR-75116 Paris France,http://www.sopragroup.com
CIBOX INTER A CTIV,"9000, Technology",Cibox Inter@ctive 17 Allée Jean-Baptiste Preux FR-94140 Alfortville France,https://www.ciboxcorp.com/
