Name,产业,員工人數,网站,代表人物,總資產,成立,總部
阳光新业地产股份有限公司,房地产开发与经营业,,,,,,
长虹美菱股份有限公司,制造业,,http://www.meiling.com/,董事长 ： 李伟,,1992年,中国 安徽省 合肥市 经济技术开发区莲花路2163号
长航凤凰股份有限公司,水上运输业,,,,,,
雅本化学,化工,"1,073 [2]",http://www.abachem.cn/en,蔡彤 ( 董事长 ),,2006年 ，​13年前 ​（ 2006 ） [1],中国 江苏 太仓 [2]
长春高新技术产业（集团）股份有限公司,生物制品业,,,,,,
中国长城计算机深圳股份有限公司,计算机及相关设备制造业,,http://www.greatwall.cn,法人代表：杜和平,,1997年6月19日,深圳市南山区科技园长城计算机大厦
中国长安汽车集团股份有限公司,汽车,,http://www.changan.com.cn,,,1862年,中国 重庆市
长城影视股份有限公司,電視劇 製作和發行,,http://www.chinaccys.com,,,2000年,中国 浙江省 杭州市 西湖区 文二西路 683号 西溪创意产业园 西区
深圳市长城投资控股股份有限公司,房地产开发、商品房销售、管理、承接建筑安装工程及房产租赁,,http://www.cctzkg.com,法人代表：朱新宏,,1994年9月13日,深圳市福田区百花五路长源楼
長江證券股份公司,證券,,https://www.95579.com/,董事長 ： 李新华,,1988年,中國 湖北 武漢
芜湖长信科技股份有限公司,显示科技,,http://www.token-ito.com/cn/,,,,中国 安徽省 芜湖市 鸠江区 经济技术开发区汽经二路
深圳长城开发科技股份有限公司,电子产品研发制造型企业,,,,,1985年7月4日 ( 1985-07-04 ),中国 深圳市 福田区 彩田路7006号
铜陵化学工业集团有限公司,化学工业,7000余人 [2],http://www.tlchem.com.cn/,董事长 ： 陈嘉生,,1991年,中华人民共和国 安徽省 铜陵市 翠湖1路2758号
广东银禧科技股份有限公司,PVC,,http://www.silverage.cn,,,,中国 广东省 东莞市
厦门银润投资股份有限公司,综合类,,,,,,
沈阳银基发展股份有限公司,房地产开发与经营业,,,,,,
金風科技 ,風力發電,"6,000 （2012年）",http://www.goldwindglobal.com,武钢 ( CEO ) David Halligan （Goldwind Americas， 首席執行官 ）,,1998年,中国 新疆 烏魯木齊
广东金马旅游集团股份有限公司,通信服务业,,,,,,
銅陵有色金屬集團控股有限公司,金屬,,http://www.tnmg.com.cn/,董事長 及 總經理 ：韋江宏,,1949年,中國 安徽 銅陵
四川金路集团股份有限公司,化学原料及化学制品制造业,,,,,,
金谷源控股股份有限公司,有色金属矿采选业,,,法人代表：路联,,1996年6月25日,河北省邯郸市峰峰矿区彭城镇彭东街9号
金融街控股股份有限公司,房地產,,http://www.jrjkg.com.cn/,董事長 ：王功偉,,1996年,中國 北京
金科地产集团股份有限公司,房地产开发与经营业,,,,,,
山东金岭矿业股份有限公司,黑色金属矿采选业,,,,,,
金叶珠宝股份有限公司,家具制造业,,,,,,
重庆市涪陵榨菜集团股份有限公司,食品,,http://www.flzc.com,,,1950年,中国 重庆市 涪陵区 江北街道 办事处二渡村一组
远光软件股份有限公司,信息技术,,http://www.ygsoft.com/,董事长： 陈利浩 总裁： 黄建元,,1998年,中国 广东省 珠海市
通化金马药业集团股份有限公司,制药业,,http://www.thjm.cn/,闫永明 （前董事长，出逃后回国自首） [1],,1990年（前身） 1993年2月26日（工商注册日期）,中国 吉林省 通化市 东昌区 江南路100-1号
辽宁华锦通达化工股份有限公司,制造业、石油加工及炼焦业,,,法人代表：刘云文,,1997年1月23日,辽宁省盘锦市双台子区红旗大街
中山大学达安基因股份有限公司,生物药品制造业,,http://www.daangene.com/,,,1988年,中国 广东省 广州市 高新区科学城香山路19号
北京赛迪传媒投资股份有限公司,出版业,,,,,,
深圳市赛格达声股份有限公司,房地产开发,,,董事长：李成碧,,1988年11月21日,深圳
迈瑞医疗国际有限公司,医疗器械,"7,500 （2019年） [1]",http://www.mindray.com/,李西廷，联席首席执行官 徐航，董事局主席 成明和，常务副总裁,,1991年,中华人民共和国 廣東省 深圳市
深圳赛格股份有限公司,零售业,368,http://www.segcl.com.cn,法人代表：孙盛典,,1984年8月23日,中国 广东省 深圳市 福田区 华强北路02号 赛格广场 61-62楼
深圳市赛为智能股份有限公司,服务业,,http://www.szsunwin.com/,董事长 ： 周勇,,1997年,中华人民共和国 广东省 深圳市 南山区
深圳市赛格三星股份有限公司,电子元器件制造业,,http://www.ssg.com.cn,法人代表：胡建平,,1997年6月6日,深圳市大工业区兰竹东路23号
贵州轮胎股份有限公司,橡胶制造业,,,,,,
贝达药业,医药,,http://www.bettapharma.com,,,2003年,中国
哈尔滨誉衡药业股份有限公司,医药,2640人 [2],http://www.gloria.cc/,董事长 ： 朱吉满,,2000年3月27日,中国 黑龙江省 哈尔滨市 利民经济技术开发区北京路29号
视觉（中国）文化发展股份有限公司,出版 、 大眾媒體 、 網頁設計,,"https://www.vcg.com/,http://www.cfp.cn/",,,2012年12月10日,中国 天津 武清 开发区福源道18号520-80（集中办公区）
