Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Prosus N.V.,Consumer Internet,"15,677 [1]",http://Prosus.com,"Koos Bekker , chair Bob van Dijk , CEO Basil Sgourdos, CFO",,,"Amsterdam , Netherlands"
Randstad NV,Professional services,"38,820 (2018 [1] )",http://www.randstad.com/,Wout Dekker (Chairman) Jacques van den Broek (Chairman and CEO) Robert Jan van de Kraats (Vice Chairman and CFO),€ 23.81 billion (2018) [1],1960 ; 59 years ago ( 1960 ),"Diemen , Netherlands"
Wolters Kluwer N.V.,"Publishing , information services","18,600 (2018) [3]",http://www.wolterskluwer.com,Nancy McKinstry ( CEO ) [1],€4.3 billion (2018) [2],1836,"Alphen aan den Rijn , Netherlands"
Royal Dutch Shell PLC,Oil and gas,"82,000 (2018)",http://www.shell.com,Charles O. Holliday ( Chairman ) Ben van Beurden ( CEO ),US$ 388.4 billion (2018),April 1907 ; 112 years ago ( 1907-04 ) in London,"Haagse Hout , The Hague , Netherlands (headquarters) Shell Centre , London , England (registered office)"
NN Group N.V.,"Insurance , Asset Management , Banking",,"https://www.nn-group.com/,https://www.nn.nl/",David Knibbe ( CEO ) Delfin Rueda (CFO),€ 5.6 billion,1963,"The Hague , Netherlands"
Galapagos NV,Pharmaceutical,725 (2018) [1],http://www.glpg.com/,"Onno van de Stolpe (CEO) , Raj Parekh (Chairman)",€288.836 million (2018) [1],1999,"Mechelen , Belgium"
Royal DSM,Chemicals,"21,054 (2017) [1]",http://www.dsm.com/,Feike Sijbesma ( CEO ) Geraldine Matchett ( CFO ) Rob J. Routs ( Chairman of the Supervisory Board ),€ 8.632 billion (2017) [1],1902 ; 117 years ago ( 1902 ),"Heerlen , Netherlands"
Koninklijke KPN N.V.,Telecommunications,"13,021 ( FTE , Dec. 2017) [1]","https://www.kpn.com/,https://www.wikidata.org/wiki/Q338633?uselang=en#P856","Joost Farwerck ( CEO ) , Duco Sickinghe ( Chairman of the supervisory board )",€ 6.498 billion (2017) [1],1893 (original; as PTT) 1 January 1989 (privatised),"Rotterdam , Netherlands"
Heineken N.V.,Beverage,"76,136 (2014) [3]",http://theheinekencompany.com,Jean-François van Boxmeer (Chairman/ CEO ) [1] Laurence Debroux ( CFO ) [1],€ 21.888 billion (2017) [2],12 July 1864 ; 155 years ago ( 1864-07-12 ),"Amsterdam , Netherlands"
Sporting CP,,,https://www.sporting.pt/en/,,,1 July 1906 ; 113 years ago ( 1906-07-01 ),
ING Groep N.V.,Financial services,"54,000 (2018) [2]",http://ing.com,Ralph Hamers ( CEO ) Tanate Phutrakul ( CFO ) Hans Wijers ( Chairman of the supervisory board ),€ 18.08 billion (2018) [2],1991 through merger [1] (est. 1743 as Kooger Doodenbos ),"Amsterdam , Netherlands"
UCB S.A.,Pharmaceuticals,"7,489 (end 2018) [1]",http://www.ucb.com/,"Gerhard Mayr ( Chairman ) , Jean Christophe Tellier ( CEO )",€ 4.632 billion (2018) [1],1928,"Brussels , Belgium"
Zalaris ASA,"Outsourcing , HR",900,http://www.zalaris.com,,NOK 262m in 2013 [1],2000,"Oslo , Norway"
TechnipFMC plc,Oil & Gas,"37,000",https://www.technipfmc.com,Thierry Pilenko (Executive Chairman) Douglas Pferdehirt (CEO),US$13 billion,"2017; Technip (1958), FMC Technologies (2001)","London , United Kingdom (legal domicile / Houston , United States , Paris , France ,  (Operational headquarters)"
Unibail-Rodamco-Westfield SE,Commercial real estate,3700 (2018),http://urw.com,Christophe Cuvillier (CEO) Colin Dyer (chairman of the supervisory board ),,27 June 2007 ; 12 years ago ( 2007-06-27 ),"Paris , France"
Umicore N.V.,Metals and Mining,"10,224 (2018) [3]",http://www.umicore.com/,Marc Grynberg ( CEO ) Thomas Leysen ( Chairman ),€ 11.9 billion (2017) [1],1989,"Brussels , Belgium"
Neopost S.A.,"Manufacturing , Technology","5,800 (end 2017) [1]","http://www.neopost.com/,http://www.neopostusa.com/,http://www.neopost.ca/,http://www.neopost.co.uk/,http://www.neopost.ie/,http://www.neopost.com.au/",Denis Thiery ( Chairman ) and Geoffrey Godet ( CEO ),€ 1.1 billion (2017) [1],1924,"Bagneux , France"
Koninklijke Philips N.V.,Conglomerate,"77,400 (2018) [2]",https://www.philips.com,Jeroen van der Veer (Chairman) Frans van Houten (CEO) Abhijit Bhattacharya (CFO) Hugo Barbosa Vazquez (Vice President),€ 18.121 billion (2018) [1],"15 May 1891 ; 128 years ago ( 1891-05-15 ) Eindhoven , Netherlands","Amsterdam , Netherlands"
Vivendi SA,Mass media,"44,142 [2] (2018)",http://www.vivendi.com/en,Arnaud de Puyfontaine ( CEO ) Stéphane Roussel ( COO ) Hervé Philippe ( CFO ),€ 13.932 billion [2] (2018),14 December 1853 ; 165 years ago ( 1853-12-14 ),"Paris , France"
Dassault Systèmes  SE,CAD / CAM / CAE / PLM Software,16 055 (12/31/2018),http://www.3ds.com,Bernard Charlès (Vice-chairman and CEO ) Charles Edelstenne ( Chairman ),"€3,477 million (2018) [1]",1981 ; 38 years ago ( 1981 ),"Vélizy-Villacoublay , France"
Gaztransport & Technigaz,Engineering,342 [2] (2018),http://www.gtt.fr,Philippe Berterottière Chairman & Chief Executive Officer,€ 246 million [2] (2018),"Gaztransport January 1966, 10 ; 53 years ago ( 10-01-1966 ) [1]","Saint-Rémy-lès-Chevreuse , France"
Wilh. Wilhelmsen Holding ASA,Shipping,"Ca. 21,000",http://www.wilhelmsen.com,Thomas Wilhelmsen (CEO) Diderik Schnitler (chair) Wilhelm Wilhelmsen (shareholder) Cecilie Paus (shareholder),,1861 ; 158 years ago ( 1861 ),"Lysaker , Norway"
Yara International ASA,Chemicals,"12,883 (end 2015) [1]",http://www.yara.com/,"Svein Tore Holsether (President and CEO ) , Leif Teksum ( Chairman )",NOK 111.897 billion (2015) [1],1905,"Oslo , Norway"
Getlink,Rail transport,"3,959 (end 2014) [2]",http://www.getlinkgroup.com,Jacques Gounon ( Chairman & CEO ) since 14 June 2005,€1.079 billion (2018) [1],1986,"Paris , France"
AXA S.A.,Financial services,"125,934 (as of December 31, 2018) [2]",https://www.axa.com,Thomas Buberl ( CEO ) Denis Duverne ( Chairman of the Board ),€ 102.9 billion (2018) [2],1816 ; 203 years ago ( 1816 ) [1],"25 Avenue Matignon, Paris , France"
Western Bulk AS,,,http://www.westernbulk.no,Jens Ismar (CEO) Åge Korsvold (Chairman),USD 832 million (2007),1982,"Oslo , Norway"
Koninklijke Vopak N.V.,Oil Gas Chemicals storage,"5,730 (end 2017)",http://www.vopak.com/,"Eelco Hoekstra ( CEO ) , Frits Eulderink ( COO ) , Gerard Paulides ( CFO )",€1.305 billion (2017) [1],1999 ; 20 years ago ( 1999 ),"Rotterdam , Netherlands"
Weifa ASA,Pharmaceutical,99,http://www.weifa.no,,500mill NOK (2012),1940,"Oslo , Norway"
Vizrt,Broadcast,600,http://www.vizrt.com/,,,1997,"Bergen , Norway"
Veidekke Group ASA,Construction and Civil Engineering,"7,000 (2015)",http://www.veidekke.com,Arne Giske (CEO) Martin Mæland (Chairman),NOK 30 billion (2016),1936,"Oslo , Norway"
Vardia Insurance Group ASA,Financial services,approx. 400,http://www.vardia.com,,,2009,"Oslo , Norway"
XXL ASA,Retail,,"http://www.xxl.no/,https://www.wikidata.org/wiki/Q12010840?uselang=en#P856",,,2001,"Oslo , Norway"
Thin Film Electronics ASA,Printed electronics,,http://www.thinfilmnfc.com,Davor Sutija ( CEO ) Morten Opstad ( Chairman ),,2005 ( 2005 ),"Oslo, Norway"
Tomra Systems ASA,Food Mining Recycling,"3,420 (end 2017) [2] [3]",http://tomra.com,"Hans Stefan Ranstrand (President and CEO ) , Jan Svensson ( Chairman )",NOK 7.432 billion (2017) [2] [3],1972 [1],"Asker , Norway"
TGS-NOPEC Geophysical Company ASA,Geoscience data,"912 (average, 2013) [2]",http://tgs.com,"Robert Hobbs ( CEO )Kristian Johansen ,( CFO ) , Henry H. Hamilton III ( Chairman )",US $ 883.4 million (2013) [1],1981,"Asker , Norway"
Telio AS,Telecommunications,100 (2007),http://www.telio.no,"Eirik Lunde (CEO) Erik Osmundsen (Chairman) Alan Duric (CTO, Co-founder)",,2003,"Oslo , Norway"
Voss Veksel- og Landmandsbank ASA,Banking,,http://www.vekselbanken.no,,,1899,"Voss , Norway"
Storebrand ASA,Insurance,"2,160 ( FTE , end 2010) [1]",http://www.storebrand.com,"Odd Arild Grefstad ( CEO ) , Didrik Munch ( Chairman )",NOK 48.24 billion (2010) [1],1767,"Lysaker , Norway"
Telenor ASA,Telecommunications,"35,121 (end 2014) [2]",http://www.telenor.com,"Sigve Brekke (President and CEO ) , Novak Velickovic ( Chairman of the Board )",NOK 131.40 billion (2016) [1],"1855, 1970","Fornebu , Norway"
Totens Sparebank,Financial services,,http://www.totenbanken.no/,,,1854,"Lena, Norway"
Subsea 7 S.A.,Engineering,"9,800 (2015)",http://www.subsea7.com,"Kristian Siem ( Chairman ) , Jean Cahuzac ( CEO )",US $6.297 billion (2013) [2],2002,"Sutton, Greater London , United Kingdom [1]"
Stolt-Nielsen Limited,Conglomerate,5000+ (2015) [1],http://www.stolt-nielsen.com,Samuel Cooperman (Chairman),"US$1,983.7 million (2015) [1]",1959,Bermuda
Sparebanken Vest,Banking,750,http://www.spv.no,,"NOK 55,7 billion",1823,"Bergen , Norway"
Sparebanken Nord-Norge,Banking,839 (2006),http://www.snn.no,Hans Olav Karde (CEO),"NOK 1,666 million (2005)",1836,"Tromsø , Norway"
Sparebanken Sør,Financial services,,http://www.sor.no/,,,,"Kristiansand , Norway"
Sparebanken Øst,Financial services,,http://www.oest.no/,,,1843,"Drammen , Norway"
SpareBank 1 SR-Bank,Banking,1250,https://www.sparebank1.no/en/sr-bank/personal.html,Arne Austreid - CEO,,1 October 1976,"Stavanger , Norway"
SpareBank 1 Ringerike Hadeland,Financial services,,http://www.sparebank1.no/ringerike-hadeland,,,2010,"Hønefoss , Norway"
SpareBank 1 Nøtterøy-Tønsberg,Financial services,,http://www.sparebank1.no/notteroy-tonsberg,,,1857,"Nøtterøy , Norway"
Siem Offshore Inc.,Shipping,"1,078 (2012)",http://www.siemoffshore.com,,,2005,Cayman Islands
Sparebanken Møre,Financial services,,http://www.sbm.no/,,,1985,"Ålesund , Norway"
SpareBank 1 BV,Financial services,,http://www.sparebank1.no/buskerud-vestfold,,,1883,"Sandefjord , Norway"
Skue Sparebank,Financial services,,http://www.indresognsparebank.no/,,,1842,"Nesbyen , Norway"
Solstad Offshore ASA,Shipping,,http://www.solstad.no,,,1964,"Karmøy , Norway"
Solvang ASA,Shipping,,http://www.solvangship.no,Magne Morken (CEO),NOK 149.4 million (2005),1936,"Stavanger , Norway"
Sevan Marine ASA,Petroleum,,http://www.sevanmarine.com,Reese McNeel ( CEO ),,2001,"Arendal , Norway"
Seadrill Limited,Petroleum industry,"4,780 (2016)",https://www.seadrill.com/,"John Fredriksen , Chairman Anton Dibowitz, CEO Mark Morris, CFO",$1.253 billion (2018),"May 10, 2005 ; 14 years ago ( 2005-05-10 )","Hamilton, Bermuda"
SalMar ASA,Fish farming,,http://www.salmar.no,"Olav-Andreas Ervik (President & CEO), Trond Tuvstein (Chief Financial Officer), Gustav Witzøe (Director of Strategic Projects)",,,"Frøya , Norway"
Schibsted ASA,Mass media,5000,http://www.schibsted.com/,"Kristin Skogen Lund ( CEO ) , Ole Jacob Sunde ( Chairman )","NOK 16,9 billion (2017)",1839 ; 180 years ago ( 1839 ),"Oslo , Norway"
Sandnes Sparebank,Financial services,,http://www.sandnes-sparebank.no/,,,1875,"Sandnes , Norway"
SpareBank 1 Østfold Akershus,Financial services,,http://www.sparebank1.no/ostfold-akershus,,,2011,"Moss, Norway"
Selvaag Bolig ASA,Real estate development,,http://www.selvaagbolig.no,,,2008,"Oslo , Norway"
Scatec Solar ASA,Renewable electricity,,http://www.scatecsolar.com/,,,2007,"Oslo , Norway"
