Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Kongsberg Automotive Holding ASA,Automotive,"~11,600 (2019)",http://www.kongsbergautomotive.com,Henning Jensen ( CEO ),€ 1.123 million (end 2018),24 March 1987,"Kongsberg , Norway"
Itera ASA,Consulting,382 (Headquarter),,Arne Mjøs(CEO),NOK 384 million (2010),1995,"Oslo , Norway"
I.M. Skaugen SE,Shipping,,http://www.skaugen.com,Morits Skaugen jr. (CEO),,1916,"Oslo , Norway"
Intex Resources ASA,Mining,,http://www.intexresources.com/,Hans Christian Qvist (CEO) Jan A. Vestrum (Chairman),,1996,"Oslo , Norway"
InterOil Exploration and Production ASA,Petroleum,178 (2007),http://www.interoil.no,Tom Wolden (CEO) Mårten Rød (Chairman),US$41.2 million (2006),2005,"Oslo , Norway"
Jæren Sparebank,Financial services,,http://www.jaerensparebank.no/,,,1923,"Bryne , Norway"
Høland og Setskog Sparebank,Financial services,,http://www.hsbank.no/,,,1849,"Bjørkelangen , Norway"
Indre Sogn Sparebank,Financial services,,http://www.indresognsparebank.no/,,,1971,"Årdalstangen , Norway"
IDEX Biometrics,Biometrics,,http://www.idexbiometrics.com,Stan Swearingen ( CEO ) Henrik Knudtzon ( CFO ) Fred Benkley ( CTO ) Morten Opstad ( Chairman ),,1996,"Oslo, Norway"
Grieg Seafood ASA,Seafood,410 (2007),http://www.griegseafood.no,Morten Vike (CEO) Ivar Kvangardsnes (Deputy CEO) Helge Nielsen (Chairman),NOK 536 million,1992,"Bergen , Norway"
Gyldendal Norsk Forlag AS,,,,Arne Magnus,,1925,
Gjensidige Forsikring ASA,Financial services,"3,908 (end 2015) [1]",https://www.gjensidige.no,"Helge Leiro Baastad ( CEO ) , Inge Hansen ( Chairman )",NOK 24.16 billion (2015) [1],1923,"Oslo , Norway"
Havyard Group ASA,Ship equipment,,http://www.havyard.com,,,2000,"Fosnavåg , Norway"
Helgeland Sparebank,Financial services,,http://www.hsb.no/,,,1977,"Mosjøen , Norway"
Hafslund AS,Power,,http://www.hafslund.no,Finn Bjørn Ruyter Managing director,,,"Oslo , Norway"
Havila Shipping ASA,Shipping,430 (2009),http://www.havila.no,Njål Sævik (CEO) Per Sævik (Chairman),,,"Fosnavåg , Norway"
Funcom Oslo AS,Interactive entertainment Computer and video games,143,http://www.funcom.com,Rui Casais ( CEO ),US$ 33.776 million (2018),1993,"Oslo , Norway"
Frontline Ltd.,Oil tanker shipping,70 (end 2010) [1],http://frontline.bm,John Fredriksen ( Chairman and CEO ),US$ 1.165 billion (2010) [1],1985,"Hamilton, Bermuda"
GC Rieber Shipping AS,Shipping,,http://www.gcrieber-shipping.com,"Irene Waage Basili, CEO (2011–). [1]",NOK 392 million (2007),1981,"Bergen , Norway"
Entra ASA,Real Estate,160 (2012),http://www.entra.no,Arve Regland (CEO) Siri Hatlen (chair),"NOK 1,510 million (2011)",2000,Oslo
Fjord1 ASA,Transport,"2,352 (2005)",http://www.fjord1.no,Leif Øverland(CEO),"NOK 2,097 million (2005)",2001,"Florø , Norway"
Gaming Innovation Group Inc.,"Online gambling , B2B , sports betting",650 (2017),https://www.gig.com/,Morten Hillestad (Chief Strategy Officer),€39.9 million [1] (2017),2008 ; 11 years ago ( 2008 ),Malta
Golden Ocean Group Limited,Shipping,214,http://www.goldenocean.no,John Fredriksen ( Chairman and CEO ),US $ 384.9 million (2010) [1],2004,"Hamilton , Bermuda"
Fjordkraft ASA,Power,195 (2016),http://www.fjordkraft.no,Rolf Barmen (CEO) Wenche Teigland (Chairman),NOK 4487 million (2016),1996,"Bergen , Norway"
Electromagnetic Geoservices ASA,Petroleum,,http://www.emgs.com,"Christiaan Vermeijden ( CEO ) , Eystein Eriksrud ( Chair )",,1 February 2002,"Trondheim , Norway"
Equinor ASA,Oil and gas,"20,245 (2017) [3]",http://www.equinor.com,"Jon Erik Reinhardsen ( Chair ) Eldar Sætre ( CEO ) , [1] Hans Jakob Hegge ( CFO )",US$61.2 billion (2017) [2],14 June 1972 ; 47 years ago ( 1972-06-14 ),"Stavanger , Norway"
Elkem ASA,"Chemical , Metal","ca. 6,100 (2017)",http://www.elkem.com,Helge Aasen (CEO),NOK 16.4 billion (2017),1904,"Oslo , Norway"
Eidesvik Offshore ASA,Shipping,470 (2007),http://www.eidesvik.no,,,,"Bømlo , Norway"
Data Respons ASA,Information technology,,http://www.datarespons.com,Kenneth Ragnvaldsen (CEO) Erik Langaker (Chairman),,1986,"Oslo , Norway"
DOF ASA,Shipping,,http://www.dof.no,Mons S. Aase (CEO),,1981 as District Offshore AS,"Austevoll , Norway"
DNO ASA,Petroleum,911 (end 2017) [1],http://www.dno.no,Bjoern Dale (Managing Director) Bijan Mossavar-Rahmani (Executive Chairman),US$347.4 million (2017) [1],1971,"Oslo , Norway"
Fred. Olsen Energy ASA,Offshore services,"1,245 (average, 2010) [1]",http://www.fredolsen-energy.no,Anette Olsen ( Chairman ) Ivar Brandvold ( CEO ),NOK 6.019 billion (2010) [1],1997 ( 1997 ),"Oslo , Norway"
Bouvet ASA,IT consulting,,http://www.bouvet.no,,,1995,"Oslo , Norway"
Ekornes ASA,Furniture,1600,http://www.ekornes.com,Olav Holst-Dyrnes ( CEO ),"NOK 2,611 million (US $429 million) in 2013",1934,"Ikornnes , Norway"
Borregaard ASA,Chemicals,,http://www.borregaard.no,,,1918,"Sarpsborg , Norway"
DNB ASA,Financial services,"11,047 (average, 2015) [1]",http://www.dnb.no/en,"Rune Bjerke ( CEO ) , Olaug Svarva ( Chairman )",NOK 53.993 billion (2015) [1],1822,"Oslo , Norway"
BW Offshore Limited,Petroleum,"2,201",http://www.bwoffshore.com,Carl K. Arnet (CEO),US$982.4 million (2013),1982,"Singapore and Oslo , Norway"
Borgestad ASA,Shipping Manufacturing Real estate,,https://borgestad.no/,,,"July 1, 1904","Skien , Norway"
Blom AS,Cartography,600 (2013),https://web.archive.org/web/20060715014842/http://www.blomasa.com/,Dirk Blaauw (CEO),NOK 335 million (2012),1954,"Oslo , Norway"
Birdstep Technology ASA,Technology,,http://www.birdstep.com,,,1996,"Oslo , Norway"
Belships ASA,,,http://www.belships.com,Sverre J. Tidemand (CEO) Asbjørn Larsen (Chairman),US$51 million (2006),1918,"Oslo , Norway"
Bonheur ASA,Holding company,,http://www.bonheur.no,Anette S. Olsen (CEO),NOK 1.3 million (2005),1897,"Oslo , Norway"
Avocet Mining,Mining,600,http://www.avocetmining.com,"Russell Edey, ( Chairman ) David Cather, ( CEO )",US$ 85.0 million (2015) [1],1995,"London , UK"
Axactor SE,Financial services,,http://www.axactor.com,,,2015,"Stockholm , Sweden (Registered office) Oslo , Norway (Operational office)"
P/F Bakkafrost,Food industry,1000 (2014) [3],http://bakkafrost.com/en/,"Regin Jacobsen ( CEO ) , Høgni Dahl Jakobsen ( CFO ) , Rúni M Hansen ( Chairman of the board )","3,202.7 million DKK (2016) [1]",1968,"Glyvrar , Faroe Islands"
Bionor Holding AS,Biotechnology,18 (2011) [1],https://www.bionorholding.com,"Birger Sørensen ( CEO ) , Dag Arne Wivelstad, Aslak Aslaksen, Per Bengtsson",NOK 109.499 million (2011) [1],2 January 1993,"Oslo , Norway"
Arcus AS,Alcoholic beverages,,http://www.arcus.no,Kenneth Hamnes ( CEO ),,1996,"Hagan, Nittedal , Norway"
Atea ASA,IT infrastructure,7400,http://www.atea.com/,Steinar Sønsteby (CEO),34.7 billion kr (FY 2018),1968,"Oslo , Norway"
Apptix,,,http://apptix.com,"Johan Lindqvist, Chairman & CEO",,,"13461 Sunrise Valley Drive, Suite 300, Herndon, VA 20171 , USA"
Arendals Fossekompani,Public utility,,http://www.arendalsfoss.no/,,,1896,"Arendal , Norway"
Austevoll Seafood ASA,Seafood,,http://www.auss.no,,,1981,"Storebø , Norway"
AKVA group ASA,Aquaculture,,http://www.akvagroup.com/,Knut Molaug ( CEO ) Steven A. Morrell ( chair ),,2006,"Bryne , Norway"
Aker Solutions ASA,Oilfield services Subsea (technology) Engineering,"13,796 [1]",http://www.akersolutions.com/,Øyvind Eriksen ( Chairman ) Luis Araujo ( CEO ) Svein Stoknes ( CFO ),"NOK 22,461 billions (2017) [1]",Aker Solutions (2008) Aker Kværner (2004) Kværner Brug (1853) Aker Mechanical Workshop (1841),"Fornebu , Norway"
