Name,業種,従業員数,外部リンク,関係する人物,資本金,設立,本店所在地
株式会社エストラスト,不動産業,連結: 71名 / 単体: 56名,http://www.strust.co.jp/,,7億36百万円,1999年1月20日,
SGホールディングス株式会社,陸運業,"連結:90,708人 （2018年3月31日現在）",http://www.sg-hldgs.co.jp/,,118億82百万円,2006年 3月21日,
株式会社エフ・ジェー・ネクスト,不動産業,連結：337人　単独：207人 （2013年3月31日現在）,https://www.fjnext.com/,,"18億5,897万円",1980年 （ 昭和 55年） 7月10日 （不動住販株式会社）,
エステー株式会社,化学,連結:859人 単独:402人 （2015年3月31日現在）,https://www.st-c.co.jp/index.html,,70億6550万円 （2015年3月31日現在）,1948年 （ 昭和 23年） 8月31日 （エステー化学工業株式会社）（創業： 1946年 （昭和21年））,
株式会社エフ・シー・シー,輸送用機器,"単独: 1,108名 連結: 8,189名 （2017年3月31日現在）",https://www.fcc-net.co.jp/,,"41億7,500万円 （2017年3月31日）",1939年 6月15日,
株式会社 関電工,建設業,"6,660名 （単体、2016年3月31日現在）",https://www.kandenko.co.jp/,,102億64百万円,1944年 9月1日,
株式会社 北川鉄工所,機械,単独 1181人 （2014年3月31日現在）,https://www.kiw.co.jp/,,86億4000万円 （2014年3月31日現在）,1941年11月28日,
株式会社木曽路,小売業,"1,208名（2015年3月）",https://www.kisoji.co.jp/,,100億56百万円,1952年 （ 昭和 27年） 9月30日 （株式会社まつば喫茶） [1],
KeePer技研株式会社,サービス業,284名（2016年6月現在）,http://www.keepercoating.jp/corp/,,"13億4,418万9千円（ 2016年 6月現在）",1993年 （ 平成 5年） 2月,
キーコーヒー株式会社,食料品,"連結：1,161人　単独：826人 （2016年3月31日現在）",https://www.keycoffee.co.jp/,,46億28百万円,1952年 （昭和27年） 10月16日 （株式会社木村コーヒー店）,
株式会社キーエンス,電気機器,"連結:6,602名 （2018年3月現在） [1]",https://www.keyence.co.jp,滝崎武光 （創業者、名誉会長）,"306億3,754万円 [1]",1974年 （昭和49年） 5月27日 [1],
株式会社かんぽ生命保険,保険業,"連結：8,269［2,714］ 単独：7,617［2,695］人 （2019年3月31日現在） [2]",https://www.jp-life.japanpost.jp/,,"5,000億円 （2019年3月期） [2]",2006年 9月1日,
関東電化工業株式会社,化学,連結：859名、単体：620名 （2019年3月）,https://www.kantodenka.co.jp/,,連結：28億77百万円,1938年 9月22日,
ガンホー・オンライン・エンターテイメント株式会社,情報・通信業,"連結：1,152名 単体：394名 （2018年12月31日現在） [1]",https://www.gungho.co.jp/,孫泰蔵,53億38百万円 [1],1998年 （ 平成 10年） 7月1日,
関西ペイント株式会社,化学,"連結:16,287人※1 (2019年3月31日現在) 単体:1,479人※2 (2018年3月31日現在)",https://www.kansai.co.jp/,岩井勝次郎 玉水弘 石野博,256億58百万円,1918年 （ 大正 7年）5月17日,〒 661-8555 兵庫県 尼崎市 神崎町33番１号
株式会社関西スーパーマーケット,小売業,"単体：＜社員＞1,142名 ＜パート他＞2,903名",http://www.kansaisuper.co.jp/,,98億6293万3千円,1959年 （ 昭和 34年） 7月29日 [1],日本 〒 664-0851 兵庫県 伊丹市 中央5丁目3番38号 [1]
川西倉庫株式会社,倉庫・運輸関連業,連結：571(70)人 単体：391人※1,https://www.kawanishi.co.jp/,川西清兵衛 川西龍三,21億800万円,1918年 （大正7年） 7月15日 （川西商事株式会社）,日本 〒 652-0831 神戸市 兵庫区 七宮町1丁目4番16号
株式会社カワチ薬品,小売業,"2,155名 （2014年3月15日、臨時雇用者を除く）",http://www.cawachi.co.jp/,,130億195万円（ 2014年 3月15日）,1980年 7月4日,
川田テクノロジーズ株式会社,金属製品,単独68人 連結人2339 （2018年9月30日現在）,https://www.kawada.jp/,,52億円（2019年3月11日現在）,2009年 2月27日 （創業 1922年 5月2日 ）,〒 939-1593 富山県 南砺市 苗島4610番地 北緯36度35分11.5秒 東経136度55分12.2秒 ﻿ / ﻿ 北緯36.586528度 東経136.920056度 ﻿ / 36.586528; 136.920056
株式会社 カワタ,機械,連結651名、単体158名（2012年3月）,https://www.kawata.cc/,,9億7714万2千円,1951年 7月13日,
株式会社関西みらいフィナンシャルグループ,銀行業,537名（2018年9月） [1],https://www.kmfg.co.jp/,,295億89百万円（2018年9月） [1] [脚註 1],2017年 （平成29年） 11月14日 [2] [5] [6],
関西電力株式会社,電気・ガス業,連結 3万2527人、単体 1万9243人 （2018年3月31日時点） [1],https://www.kepco.co.jp/,福澤桃介 堀新 （初代会長） 太田垣士郎 （初代社長） 芦原義重 （第2代社長）,4893億円 （2018年3月31日時点）,1951年 5月1日,日本 〒 530-8270 大阪府 大阪市 北区 中之島 三丁目6番16号 （ 関電ビルディング ） 北緯34度41分33.4秒 東経135度29分33秒 ﻿ / ﻿ 北緯34.692611度 東経135.49250度 ﻿ / 34.692611; 135.49250
川崎汽船株式会社,海運業,"連結8,003人（2016年3月）",https://www.kline.co.jp/,黒谷研一 （元社長） 朝倉次郎 （元社長） 村上英三 （元社長） 石山泰三（元副社長),754億57百万円,1919年 4月5日,〒 650-0024 兵庫県 神戸市 中央区 海岸通 8番（ 神港ビル ）
株式会社 河合楽器製作所,その他製品,"単体: 1,340人 連結: 2,868人 （2016年3月31日現在）",https://www.kawai.jp/,河合小市,71億22百万円 （2016年3月31日現在）,1951年 5月15日,
川崎重工業株式会社,輸送用機器,"連結35,691人 （2019年3月末現在）",https://www.khi.co.jp/,川崎正蔵 （創業者） 松方幸次郎 （初代社長） 村山滋 （元 会長 ） 石川主典 （元代表取締役副社長執行役員）,"1,044億8,400万円（2016年3月末現在）",1896年 （明治29年） 10月9日 （株式会社川崎造船所）,
カルビー株式会社,食料品,"連結：3,860名 単体：1,726名 （2017年3月31日時点）",https://www.calbee.co.jp/,松尾孝 （創業者） 松本晃 （元会長兼CEO）,120億20百万円,1949年 （ 昭和 24年） 4月30日,
カメイ株式会社,卸売業,"単体：1,893名 連結：4,899名 (2018年3月31日現在)",https://www.kamei.co.jp/,,81億32百万円 (2018年3月31日現在),1932年 12月29日,
亀田製菓株式会社,食料品,"3,049名（2016年3月31日現在)",https://www.kamedaseika.co.jp/cs/,古泉栄治（創業者）,19億4613万円（2016年3月31日現在）,1957年 8月26日 （創業 1946年 9月）,
株式会社 上組,倉庫・運輸関連業,"単体3,815人（2013年3月31日現在）",https://www.kamigumi.co.jp/,尾崎睦 （元社長）,316億42百万円,1947年 2月28日,〒 651-0083 兵庫県 神戸市 中央区 浜辺通 4丁目1番11号
株式会社 鎌倉新書,サービス業,単独 108名（2018年7月31日現在）,https://www.kamakura-net.co.jp/,,"7億9,270万円（2019年1月末現在）",1984年 4月,
カブドットコム証券株式会社,証券、商品先物取引業,113名 （2015年9月30日現在） [広報 1],https://www.kabu.com/,,71億96百万円 （2015年9月30日現在） [広報 1],1999年 11月19日 （イー・サンワ証券株式会社）,
兼松サステック株式会社,その他製品,単独:165人 （2015年3月31日現在）,http://www.ksustech.co.jp/,,33億2560万円,1934年 （昭和9年） 3月6日 （日本産業護謨株式会社）,
兼松エレクトロニクス株式会社,情報・通信業,"連結1,244名　単体415名 （2019年3月31日現在）",http://www.kel.co.jp/,,"90億3,125万円（2019年3月31日現在）",1968年 7月23日,
株式会社カプコン,情報・通信業,連結：2811人 単独：2194人 （2017年3月31日現在）,http://www.capcom.co.jp/,小林裕幸 小野義徳 巧舟 辻本良三 イケノ 竹内潤 伊津野英昭 成田暁彦 岡本吉起 （元取締役） 藤原得郎 （元社員） 船水紀孝 （元社員） 西谷亮 （元社員） 稲船敬二 （元社員） 三上真司 （元社員） 神谷英樹 （元社員） 稲葉敦志 （元社員） 安田朗 （元社員） 西村キヌ （元社員） BENGUS （元社員） 吉川達哉 （元社員） 下村陽子 （元社員） 岩元辰郎 （元社員） 森橋ビンゴ （元社員） 土林誠 （元社員）,332億3900万円（2017年3月31日現在）,1979年 （昭和54年） 5月30日 （アイ・アール・エム株式会社）（創業： 1983年 （昭和58年） 6月11日 ）,
兼松株式会社,卸売業,"連結：6,915名 単体：765名（19年3月31日現在）",http://www.kanematsu.co.jp/,兼松房治郎 （創業者） 清川正二,277億8100万円,1918年 （ 大正 7年） 3月18日 創業 1889年 （ 明治 22年）8月 （豪州貿易兼松房治郎商店）,〒 650-0032 兵庫県 神戸市 中央区 伊藤町 119番地
カナレ電気株式会社,非鉄金属,連結:251人  単独:97人 （2013年12月31日現在）,https://www.canare.co.jp/,,10億4754万2千円,1974年 （ 昭和 49年） 2月2日,〒 105-0011 愛知県 日進市 藤枝町奥廻間1201番地10
カネコ種苗株式会社,水産・農林業,単体583人、連結588人 （2013年（平成25年）5月）,http://www.kanekoseeds.jp/,,14億9126万円,1947年 （昭和22年） 6月17日,
