Name,業種,従業員数,外部リンク,関係する人物,資本金,設立,本店所在地
松竹株式会社,情報・通信業,"連結：1,227人 単独：535人",https://www.shochiku.co.jp/,白井松次郎 大谷竹次郎 小山内薫 城戸四郎 大谷隆三 永山武臣 奥山融,330億1800万円,1920年 11月8日 （帝国活動写真株式会社）,
株式会社ジョイフル本田,小売業,"連結2,329人、単体1,839人 （2013年6月）",https://www.joyfulhonda.com/,本田昌也,120億円,1975年 （昭和50年） 12月15日,
JUKI株式会社,機械,"連結5,891人",https://www.juki.co.jp/,山岡憲一,"180億4,471万円",1938年 （ 昭和 13年） 12月15日 （東京重機製造工業組合）,
株式会社秀英予備校,サービス業,連結727人,https://www.shuei-yobiko.co.jp/,,20億8940万円,1984年 11月1日,
株式会社JALUX,卸売業,"連結:1,147人  単独:319人 （2017年3月31日現在）",https://www.jalux.com/,横尾昭信 （元社長）,25億5855万円,1962年 （ 昭和 37年） 3月28日 (※),
株式会社ジャフコ,証券、商品先物取引業,連結:148名 （2018年3月末現在）,http://www.jafco.co.jp/,,332億5167万3571円,1973年 （昭和48年） 4月5日 （日本合同ファイナンス株式会社）,
株式会社ジャパンミート,小売業,,http://www.japanmeat.co.jp/,,"2,229百万円(2019年7月期)",1978年 （ 昭和 53年） 8月1日,〒 311-3423 茨城県 小美玉市 小川956
ジャパンマテリアル株式会社,サービス業,連結：488名、単独：171名 （2015年3月31日現在）,http://www.j-material.jp/,,"13億1,781万5千円",1997年 （平成9年） 4月28日 （ジャパンマテリアル有限会社）,
ジャパンベストレスキューシステム株式会社,サービス業,連結:232名 単独:201名 （2017年9月30日現在）,https://www.jbr.co.jp/,,7億8036万0千円,1997年 （ 平成 9年） 2月12日 （日本二輪車ロードサービス株式会社）,
ジャパンフーズ株式会社,食料品,257人,http://www.japanfoods.co.jp/,,"6億2,880万円",1976年 （ 昭和 51年） 12月23日,
株式会社ジャパンディスプレイ,電気機器,"連結：11,542人 単独：4,782人 （2018年3月31日現在）",https://www.j-display.com/,大塚周一 （初代社長兼CEO） 本間充 （元会長兼CEO） 有賀修二 （元社長兼COO） 月崎義幸 （元社長兼CEO),"1,143億62百万円 （ 2018年 9月30日現在）",2002年 （平成14年） 10月1日 （株式会社日立ディスプレイズ）,
ジャパンエレベーターサービスホールディングス株式会社,サービス業,連結927名（2017年3月） [1],https://www.jes24.co.jp/,,6億8百万円 [1],1994年（平成6年）10月3日 [2],
株式会社十六銀行,銀行業,"（連結）2,987人",https://www.juroku.co.jp/,,368億円,1877年 （明治10年） 10月 （第十六国立銀行）,
株式会社ジャックス,その他金融業,"単独2,683名 （2015年3月31日現在）",https://www.jaccs.co.jp/,伊部政次郎 （創業者） 木島光彦 （元CEO） 杉本直栄 （元CEO）,161億3818万円,1948年 12月23日 （創業は 1954年 6月29日 ）,〒 040-0063 北海道 函館市 若松町2-5
蛇の目ミシン工業株式会社,機械,"単体 685名、連結 3,316名 （2016年3月31日現在） [1]",https://www.janome.co.jp/,兜木励悟 、 眞壁八郎 （元社長）,"113億7,300万円",1950年 （ 昭和 25年） 6月27日,
株式会社ジャストシステム,情報・通信業,単体336人 連結346人 （2017年3月末） [1],https://www.justsystems.com/,,"101億4651万5,500円 （2017年3月31日現在）",1981年 6月2日,〒 771-0189 徳島県 徳島市 川内町 平石若松108番地4
株式会社ジャステック,情報・通信業,,http://www.jastec.co.jp/,,22億38百万円 （2017年11月）,1971年 7月16日,
株式会社シモジマ,卸売業,単体:586人（2016年3月31日現在）,https://www.shimojima.co.jp/,,14億5百万円,1962年 （ 昭和 37年） 4月26日 （下島不動産株式会社）,
株式会社 じもとホールディングス,銀行業,"連結：1,741人 単独：3人 （2015年3月31日現在）",https://www.jimoto-hd.co.jp/,,170億円 （2015年3月31日現在）,2012年 10月1日,
シミックホールディングス株式会社,,"連結：4,704人 （2017年9月現在）",https://www.cmicgroup.com/,,30億875万円,1985年 （ 昭和 60年） 3月14日,
株式会社清水銀行,銀行業,"単体：974人 連結：1,071人 （2016年3月31日現在）",https://www.shimizubank.co.jp/,,"86億7,050万円 （2016年3月31日現在）",1928年 （昭和3年） 7月1日,
株式会社しまむら,小売業,"連結：3,174人 単体：2,671人 （2019年2月20日現在）",https://www.shimamura.gr.jp/,島村恒俊 （創業者）,170億86百万円 （2019年2月20日現在）,1953年 （ 昭和 28年） 5月7日 （株式会社島村呉服店） [1] 1923年 （ 大正 13年） （創業） [1],
清水建設株式会社,建設業,"連結：1万5,722人 単体：1万694人 （2015年3月末現在）",https://www.shimz.co.jp/,清水喜助 野村哲也（会長） 小野武彦 （土木学会会長）,"743億6,500万円",1937年 （ 昭和 12年） 8月24日,
株式会社シマノ,輸送用機器,"単体:1,155名、連結：12,368名 （2012年12月31日現在）",https://www.shimano.com/jp/index.html,,356億13百万円,1940年 1月29日 （創業： 1921年 ）,
シャープ株式会社,電気機器,"連結:53,939人 （2019年3月末時点） [2]",https://jp.sharp/,早川徳次 （創業者） 佐伯旭 （二代目社長） 辻晴雄 （三代目社長） 町田勝彦 （四代目社長） 片山幹雄 （五代目社長） 奥田隆司 （六代目社長） 高橋興三 （七代目社長） 戴正呉 （八代目社長）,50億円 （2019年3月31日現在） [2],1935年 （昭和10年） 5月1日 （株式会社早川金属工業研究所） ※,
株式会社島津製作所,精密機器,"連結:11,528名 単体:3,202名",https://www.shimadzu.co.jp/,初代・島津源蔵 （創業者） 二代目・島津源蔵 （2代目社長） 田中耕一 （ ノーベル化学賞 受賞者、田中耕一記念質量分析研究所長） 矢嶋英敏 （元会長） 服部重彦 （元社長）,266億48百万円,1917年 9月1日,
株式会社島根銀行,銀行業,連結：390人 単体：382人 （2016年3月31日時点）,https://www.shimagin.co.jp/,,66億36百万円 （2016年3月31日時点）,1915年 （ 大正 4年） 5月20日,
澁谷工業株式会社,機械,"単体1,387名 連結3,070名 (2013年6月末現在)",https://www.shibuya.co.jp/,,113億92百万円,1949年 6月21日,
澁澤倉庫株式会社,倉庫・運輸関連業,"連結：1,135人、単体：491人 （2018年3月）",https://www.shibusawa.co.jp/,渋沢栄一 （創業者）,"78億4,700万円",1909年 7月15日,
芝浦メカトロニクス株式会社,電気機器,"連結:1,202人 単独:666人",https://www.shibaura.co.jp/,,67億61百万円,1939年 （ 昭和 14年） 10月12日 （株式会社芝浦京町製作所）,
シナネンホールディングス株式会社,卸売業,"連結：1,556人　単独：45人 （2018年3月31日現在）",https://www.sinanengroup.co.jp/,,156億30百万円,1934年 （昭和9年） 4月25日 （品川豆炭株式会社） （創業 1927年4月11日）,
株式会社島忠,小売業,"1,637人（2017年8月期） [1]",http://www.shimachu.co.jp/,,165億33百万円 （2017年8月期） [1],1947年3月8日（株式会社光文社、登記上の設立日） [1] 1969年11月15日（株式会社家具の島忠）,
品川リフラクトリーズ株式会社,ガラス・土石製品,"単独1,063名 連結2,768名 （2014年3月現在）",https://www.shinagawa.co.jp/,青木均一 （元社長） 大谷武雄 （元社長）,33億円,1903年 （明治36年） 6月25日,
シチズン時計株式会社,精密機器,"連結:17,046名 （2016年3月31日現在）",https://www.citizen.co.jp/,戸倉敏夫 （現会長、元社長）,326億48百万円 （ 2016年 3月31日 現在）,1930年 5月28日,
株式会社島精機製作所,機械,単独 1274名 連結 1859名 （ 2017年 3月期）,https://www.shimaseiki.co.jp/,,148.59億円 [1],1961年 （昭和36年）7月 [1],
シスメックス株式会社,電気機器,"連結：7,930名　単体：2,555名 （2017年3月31日現在）",https://www.sysmex.co.jp/,,110億16百万円（2016年3月31日現在）,1978年 （昭和53年） 3月7日 （※）,
株式会社システムソフト,情報・通信業,連結: 123人 単体: 120人 （2018年9月30日現在） [1],https://www.systemsoft.co.jp/,,15億609万円 （2018年9月30日現在） [1],1979年 9月28日,
株式会社七十七銀行,銀行業,"単独：2,713［1,272］人 連結：2,766［1,349］人 （2018年3月31日時点） [1]",https://www.77bank.co.jp/,渋沢栄一 （創立者） 遠藤敬止 （第二代・第四代頭取）,"246億5,800万円 （2018年3月31日時点） [1]",1932年 （ 昭和 7年） 1月31日 [注 1] 創業は 1878年 （ 明治 11年） 12月 （第七十七国立銀行）,
株式会社システム情報,情報・通信業,[連結]628名（2018年10月現在）,https://www.sysj.co.jp/,,5億02百万円,1980年1月12日,
株式会社システムサポート,情報・通信業,615名（2016年6月末現在）,http://www.sts-inc.co.jp/,,"1億9,555万円",1980年1月,
株式会社システムインテグレータ,情報・通信業,174人,https://www.sint.co.jp/,,3億6771万2000円 （資本準備金　3億5771万2000円）,1995年 3月14日,
株式会社システナ,情報・通信業,単体1998人 連結2585人 （2017年3月期）,https://www.systena.co.jp/,,15億1375万円,1983年 3月24日,
株式会社資生堂,化学,"連結：38,640［8,109］名 単独：3,497［1,583］名 （2018年12月31日現在） [1]",https://www.shiseidogroup.jp/,福原有信 （ 創業者 ） 福原信三 （初代 社長 ） 山名文夫 （ デザイナー ） 杉山登志 （CMディレクター） 福原義春 （ 名誉会長 ）,645億600万円 （2018年12月期） [1],1927年 6月24日,〒 104-8010 東京都 中央区 銀座 7丁目5番5号
株式会社静岡銀行,銀行業,"単独：2,848人 連結：4,211人 （2015年3月31日現在）",https://www.shizuokabank.co.jp/,,908億45百万円 （2015年3月31日現在）,1943年 3月1日,
静岡ガス株式会社,電気・ガス業,"連結1,265人 （2018年12月）",https://www.shizuokagas.co.jp/,,"62億7,914万円",1910年 4月16日,
四国化成工業 株式会社,化学,,https://www.shikoku.co.jp/,,68億6770万円,1947年 10月10日,
株式会社じげん,サービス業,連結197名（2016年3月）,https://zigexn.co.jp/,,25億27百万円（2018年3月）,2006年 （平成18年） 6月1日,
シキボウ株式会社,繊維製品,連結: 2465名 単独: 531名 2014年3月末現在,http://www.shikibo.co.jp/index.html,,113億3600万円,1892年8月5日 （127年前） （ 1892-08-05 ）,
株式会社四国銀行,銀行業,"単体：1,359人 連結：1,408人 （2016年3月31日現在）",https://www.shikokubank.co.jp/,,250億円 （2016年3月31日現在）,1878年 （明治11年） 10月17日 （第三十七国立銀行）,
四国電力株式会社,電気・ガス業,"連結 8,156人、単体 4,594人 （2018年3月31日時点）",https://www.yonden.co.jp/,,"1,455億5,192万円（2015年3月31日時点）",1951年 （昭和26年） 5月1日,日本 〒 760-8573 香川県 高松市 丸の内 2番5号
株式会社滋賀銀行,銀行業,"単体：2,199人 連結：2,468人 （2016年3月31日現在）",https://www.shigagin.com/,,330億76百万円 （2016年3月31日現在）,1933年 10月1日,
塩野義製薬株式会社,医薬品,"5,511",http://www.shionogi.co.jp/,塩野義三郎 （創業者）,"212億7,900万円",1919年 （ 大正 8年） 6月5日 （株式会社塩野義商店）（創業：1878年（明治11年）3月17日）,
GMB株式会社,輸送用機器,"連結:2,793人（2015年3月）",https://www.gmb.jp/,,8億38百万円,1962年5月8日,
株式会社JVCケンウッド,電気機器,"単体：3,109人 連結：16,939人 （2019年3月末日現在）",https://www.jvckenwood.com/,,136億45百万円（2019年3月末日現在）,2008年 （ 平成 20年）10月1日 （JVC・ケンウッド・ホールディングス株式会社）,
ジェイリース株式会社,不動産、その他金融,連結:326名,https://www.j-lease.jp/,永芳卓磨 （CSR推進部 社員 [2] ）,"712,769,200円",2004年 2月27日,
株式会社JPホールディングス,サービス業,"単体 15名 連結 2,145名 （2015年3月31日現在）",https://www.jp-holdings.co.jp/,,10億円,1993年3月31日 （有限会社ジェイ・プランニング）,
株式会社ジェイテクト,機械,"連結：49,259名 単独：11,763名 （2016年3月31日） [1]",https://www.jtekt.co.jp/,横山元彦 （元社長） 井川正治 （元社長） 新美篤志 （元会長） 須藤誠一 （元会長）,952億91百万円 [1],1935年 （ 昭和 10年） 1月18日 （光洋精工株式会社）,〒 542-8502 大阪府大阪市中央区南船場3-5-8
J.フロント リテイリング株式会社,小売業,連結:6871人 単独:97人,https://www.j-front-retailing.com/,岡田邦彦 （初代会長） 奥田務 （初代社長）,"319億7,400万円",2007年 9月3日,〒 104-0061 東京都中央区 銀座 六丁目10番1号
株式会社JCU,化学,"連結：559人,単体：264人 (2018年3月末日現在)",https://www.jcu-i.com/,,11億9157万5000円,1968年 4月1日,
JCRファーマ株式会社,医薬品,単体613人、連結632人 （2019年3月）,https://www.jcrpharm.co.jp/,,90億6186万円,1975年 9月13日,
株式会社ジェイ・エム・エス,精密機器,"単体1,576人、連結7,144人 （2014年3月31日現在）",https://www.jms.cc/,谷光大,74億1101万円 （2014年3月31日現在）,1965年 6月12日,
株式会社J-オイルミルズ,食料品,"連結:1,069人、単体:995人 （2013年3月）",https://www.j-oil.com/,鈴木忠治 （宝製油設立者） 江頭邦雄 （元味の素社長） 杉山金太郎 （元豊年製油社長） 吉原治良 （元吉原製油社長） 嶋雅二 （初代社長） 佐々木晨二 （元社長） 楳田純和 （元社長）,100億円,2002年 （ 平成 14年） 4月1日 （豊年味の素製油株式会社）,
JFEホールディングス株式会社,鉄鋼,"連結:59,460人 （2016年3月末現在） [1]",https://www.jfe-holdings.co.jp/,岡田伸一 （元副社長）,"1,471億円 （2015年3月末現在） [1]",2002年 （平成14年） 9月27日 [1],
株式会社JSP,化学,"連結:2943名,単体:756名 (2018年3月末日現在)",https://www.co-jsp.co.jp/,,101億2800万円,1962年1月,
株式会社 ジェイ エイ シー リクルートメント,サービス業,544名（2014年12月31日時点),https://corp.jac-recruitment.jp/,,6億1950万円,1988年 3月7日,
JSR株式会社,化学,"連結:8,748名",http://www.jsr.co.jp/,石橋正二郎 （初代社長） 吉田淑則 （元社長）,"233億7,000万円",1957年 12月10日,
株式会社ジーンズメイト,小売業,110名,https://www.jeansmate.co.jp/,,20億1581万円,1960年 （ 昭和 35年） 10月14日 [1],
株式会社 シーボン,化学,,https://www.cbon.co.jp/net/,,4億4954万円,1966年 （昭和41年） 1月24日,〒 106-8556 東京都 港区 六本木7丁目18番12号
株式会社シード,精密機器,連結1041名 （2019年6月30日現在）,https://www.seed.co.jp/,,18億4128万0千円 （ 2017年 3月31日 現在）,1957年 （ 昭和 32年） 10月9日 （株式会社東京コンタクトレンズ研究所）,
JXTGホールディングス株式会社,石油・石炭製品,連結：4万695人　単独：110人 （2019年3月末現在）,https://www.hd.jxtg-group.co.jp/,,"1,000億円",2010年 （ 平成 22年） 4月1日,
株式会社ジーフット,小売業,"1,348名（2014年2月28日現在）",http://www.g-foot.co.jp/,,33億26百万円,1971年 10月18日 （株式会社ツルヤ靴店）,
株式会社ジーテクト,金属製品,"連結7,143人（単体1,207人）",https://www.g-tekt.jp/,,46億5622万円,1953年 11月 （菊池ボデー工業有限会社）,
株式会社シーティーエス,サービス業,185名 （2015年3月31日現在）,https://www.cts-h.co.jp/,,4億2599万6024円,1990年 11月20日,
CDS株式会社,サービス業,連結 643人、単独 270人 （2012年12月31日現在）,https://www.cds-japan.jp/ja/,,8億9368万円 （ 2012年 12月31日現在）,1980年 （ 昭和 55年） 2月1日 （中央立体図株式会社）,
株式会社G-7ホールディングス,小売業,"連結1,653人（2016年3月31日現在）",https://www.g-7holdings.co.jp/,,"17億8,570万円",1976年 6月18日,
GCA株式会社,サービス業,連結:224名 （2014年12月31日現在）,https://www.gcaglobal.co.jp/,佐山展生,5億88百万円 （2014年12月31日現在）,2008年 3月1日,
CKD株式会社,機械,"連結：4,282名　単独：2,458名 （2019年3月31日現在）",https://www.ckd.co.jp/,石田正範 （元会長）,110億16百万円 （2019年3月31日現在）,1943年 （ 昭和 18年） 4月2日 （日本航空電機株式会社）,
サンエツ金属株式会社,非鉄金属,連結920名（2017年3月）,http://www.cksanetu.co.jp/,,27億円,1937年 （ 昭和 12年） 12月25日 （阪根伸銅株式会社）,
シークス株式会社,卸売業,"単独176名、連結10,820名 （2016年12月）",http://www.siix.co.jp/,,"21億4,400万円",1992年 7月1日,
GMOペイメントゲートウェイ株式会社,情報・通信業,連結：756名 単体：382名 (2018年9月30日現在),https://www.gmo-pg.com/,,"47億1,290万円 （2018年9月30日現在）",1995年 3月8日,
GMOクラウド株式会社,情報・通信業,連結916名 単体421名 （2018年12月末）,https://ir.gmocloud.com/,,9億1690万円（2018年12月末）,1993年 12月14日,
株式会社ジーエス・ユアサコーポレーション,電気機器,"単体14名 連結14,710名 （2017年3月）",https://www.gs-yuasa.com/jp/,,100億円,2004年 6月1日,
株式会社GSIクレオス,卸売業,連結560（2018年3月期）,http://www.gsi.co.jp/,林大作（創業者）,71億86百万円 （2018年3月31日現在）,1931年 10月31日,
GMOインターネット株式会社,情報・通信業,"4,471名 (外、平均臨時雇用者数 729名)",https://www.gmo.jp/,西山裕之 （副社長） 相浦一成 （副社長）,50億円（2016年12月末日現在）,1991年 5月24日,
株式会社CAC Holdings,情報・通信業,"連結2,239名（2013年12月31日現在）",https://www.cac-holdings.com/index.php,,37億2百万円（2013年12月31日現在）,1966年 8月8日,
株式会社CEホールディングス,情報・通信業,連結157人(2013年9月),,,,,
株式会社シー・ヴイ・エス・ベイエリア,サービス業,247人,http://www.cvs-bayarea.co.jp/,,12億円,1981年 （ 昭和 56年） 2月19日 （シビルサービス株式会社）,〒 261-0023 千葉県 浦安市 美浜 1-9-2
株式会社C&Fロジホールディングス,陸運業,"連結3,776人（2016年3月）",https://www.cflogi.co.jp/,,40億円,2015年 10月1日,
株式会社シーイーシー,情報・通信業,"連結2,300名 （2018年4月1日現在）",https://www.cec-ltd.co.jp/,,65億86百万円,1968年 （ 昭和 43年） 2月24日,〒 252-8567 神奈川県 座間市 東原5-1-11
株式会社シーアールイー,不動産業,連結：208人 単独：157人 （2018年7月期） [2],https://www.cre-jpn.com/,,"21億9,571万円 （2019年7月31日現在） [1]",2009年12月22日 （公共ロジスティックス株式会社）,
三和ホールディングス株式会社,金属製品,2588人（2016年4月末日現在）,http://www.sanwa-ss.co.jp/,,5億円（2016年3月31日現在）,2007年 （ 平成 19年） 10月1日,
株式会社サンリツ,倉庫・運輸関連業,連結：497名　単独：283名 （2014年3月31日現在）,https://www.srt.co.jp/,,"25億2,386万6千円",1948年 （ 昭和 23年） 3月27日 （株式会社三立社）,
サンヨーホームズ株式会社,建設業,連結611名（2017年3月31日現在）,https://www.sanyohomes.co.jp/index.html,,59億4516万円（2017年3月31日現在）,1969年 （ 昭和 44年） 2月1日,
株式会社サンヨーハウジング名古屋,不動産業,単体356人、連結489人 （2018年8月31日現在） [1],https://sanyo-hn.co.jp/,,37億32百万円 （2018年8月現在） [1],1989年 （ 平成 元年） 11月16日,
株式会社サンリオ,卸売業,単体：762名 （嘱託・アルバイト等を除く　2016年3月31日現在）,https://www.sanrio.co.jp/welcome.html,,100億円（2016年3月31日現在）,1960年 （ 昭和 35年） 8月10日,東京都品川区大崎一丁目6番1号
山陽特殊製鋼株式会社,鉄鋼,"連結:2,625人 単独:1,309人 （2016年3月31日現在） [1]",http://www.sanyo-steel.co.jp/,,"201億8,200万円 （2016年3月31日現在） [1]",1935年 （昭和10年） 1月11日 [1],
山洋電気株式会社,電気機器,"単独1,738名、連結2,886名 （2012年9月）",https://www.sanyodenki.co.jp/,,99億26百万円 （2010年3月）,1936年 （ 昭和 11年） 12月31日 （創業: 1927年 （昭和2年） 8月 ）,
株式会社三陽商会,繊維製品,"連結：1,328名 単体：1,309名 （2015年12月31日現在）",https://www.sanyo-shokai.co.jp/,吉原信之 （創業者）,150億200万円 （2015年12月31日現在）,1943年 5月11日,
三洋化成工業株式会社,化学,"連結:1,996人  単独:1,269人 （2017年3月31日現在） [1]",https://www.sanyo-chemical.co.jp/,,130.5億円（2017年3月期） [1],1949年 （ 昭和 24年） 11月1日 （三洋油脂工業株式会社）,
燦ホールディングス株式会社,サービス業,連結：707名　単独：53名 （2014年3月31日現在）,https://www.san-hd.co.jp/,,"25億6,815万7千円",1932年 （ 昭和 7年） 8月26日 （株式会社公益社）,
株式会社サンマルクホールディングス,小売業,59人,http://www.saint-marc-hd.com/saintmarc/,片山直之 （元社長）,1億円,2006年 3月1日,
サンフロンティア不動産株式会社,不動産業,正社員：522名 パート・アルバイト含む：850名,"https://www.sunfrt.co.jp/,/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:%E6%9D%B1%E5%AE%9D%E6%97%A5%E6%AF%94%E8%B0%B7%E3%83%93%E3%83%AB%EF%BC%882018%E5%B9%B44%E6%9C%8830%E6%97%A5%E6%92%AE%E5%BD%B1%EF%BC%89.jpg,/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:%E6%9D%B1%E5%AE%9D%E6%97%A5%E6%AF%94%E8%B0%B7%E3%83%93%E3%83%AB%EF%BC%882018%E5%B9%B44%E6%9C%8830%E6%97%A5%E6%92%AE%E5%BD%B1%EF%BC%89.jpg",,"119億6,525万円",1999年 4月8日,
サントリー食品インターナショナル株式会社,食料品,"連結：24,233人 単独：503人",https://www.suntory.co.jp/softdrink/index.html,,"1,683億84百万円",2009年1月23日 （サントリー食品株式会社）,
株式会社サンドラッグ,小売業,単体：2810人 （2016年3月31日現在、パート・アルバイト除く）,http://www.sundrug.co.jp/,多田幸正（創業者）,39億31百万円,1965年 （ 昭和 40年） 4月8日 （有限会社サンドラッグ）,
サンデンホールディングス株式会社,機械,"連結 13,398名",http://www.sanden.co.jp/,牛久保海平 （創業者） 牛久保雅美（会長）,110億37百万円,1943年 7月30日,
参天製薬株式会社,医薬品,"連結：3,050人　単独：1,903人 （2013年3月31日現在）",https://www.santen.co.jp/,田口謙吉 （創業者）,70億80百万円（2013年3月31日現在）,1925年 （ 大正 14年） 8月6日 （参天堂株式会社）,〒 533-8651 大阪市 東淀川区 下新庄3-9-19
株式会社三十三フィナンシャルグループ,銀行業,,https://www.33fg.co.jp/,,100億円 [1],2018年 （平成30年） 4月2日 [1],〒 515-8530 三重県 松阪市 京町510 [1]
株式会社サンセイランディック,不動産業,96名 （平成24年12月末現在）,https://www.sansei-l.co.jp/,,257百万円,1976年 2月,
山陽電気鉄道株式会社,陸運業,単体:718名 連結:1977名（2017年6月27日現在）,http://www.sanyo-railway.co.jp/index.html,,"100億9,029万158円 （2017年6月27日現在）",1933年 （ 昭和 8年） 6月6日,
サンコール株式会社,金属製品,"連結2,385人(2017年3月31日時点)",http://www.suncall.co.jp/,,48.1億円(2017年3月31日時点),1943年6月2日,
三光合成株式会社,化学,単体521人（2017年5月）,http://www.sankogosei.co.jp/,,28億8573万円,1944年 9月18日,
三晃金属工業株式会社,建設業,連結：441人 単独：392人,http://www.sankometal.co.jp/,,19億80百万円,1949年 （昭和24年） 6月16日,
サンケン電気株式会社,電気機器,"単体1,254名 連結1万454名 (2015年3月31日)",https://www.sanken-ele.co.jp/,,208億9678万9680円,1946年 9月5日,
株式会社サンゲツ,卸売業,"連結：2,334人 単独：1,803人 （2019年3月31日現在） [1]",https://www.sangetsu.co.jp/,,"136億1,610万円 [1]",1953年 （ 昭和 28年） 4月21日 （株式会社山月堂）（創業　: 1849年 （嘉永2年））,
三共生興株式会社,卸売業,"連結:420〔1,062〕人 単独:57〔94〕人※2",http://www.sankyoseiko.co.jp,,"3,000百万円",1938年 （昭和13年）12月11日 （株式会社 三共商会）,〒 541-0052 大阪府大阪市中央区安土町2丁目5番6号
三協立山株式会社,金属製品,"単体：5,572名（2018年11月30日現在)",https://www.st-grp.co.jp/,,150億円（2014年5月31日現在）,1960年 6月20日,
山九株式会社,陸運業,"連結31,137名 単体12,059名 （2019年3月現在）",https://www.sankyu.co.jp/,中村精七郎（創業者）,286億19百万円,1918年 （ 大正 7年） 10月1日,〒 801-0852 福岡県 北九州市 門司区 港町6-7
株式会社三共,機械,"連結 1,026名 （2018年3月現在）",https://www.sankyo-fever.co.jp/,毒島邦雄 （創業者）,"148億4,000万円",1966年 4月12日,
株式会社三栄建築設計,不動産業,710名（2019年4月現在）,https://san-a.com/,,"13億4,015万円",1993年 （ 平成 5年） 9月29日 （有限会社三栄コーポレーション）,〒 167-0042 東京都 杉並区 西荻北 2-1-11 三栄本社ビル
三機工業株式会社,建設業,"連結:2,339人 単独:1933人 （2017年3月期）",https://www.sanki.co.jp/,,81億05百万円 （2017年3月31日現在）,1949年 （ 昭和 24年） 8月1日,
株式会社山陰合同銀行,銀行業,"連結：2,145人 単独：1,792人 （2016年3月31日現在）",https://www.gogin.co.jp/,,207億5百万円 （2016年3月31日現在）,1941年 （昭和16年） 7月1日,
株式会社サンエー,小売業,"10,521人 （2018年12月現在、パートナー社員・アルバイト含む） [1]",https://www.san-a.co.jp/,折田喜作 （ 創業者 ）,37億2300万円（2019年現在） [1],1970年 （ 昭和 45年） 5月28日,
EPSホールディングス株式会社,サービス業,"連結 4,890名 [1] （2016年9月期）",https://www.eps-holdings.co.jp/,,38億88百万円 [1],1991年 5月 （株式会社エプス東京）,
飯野海運株式会社,海運業,"連結：622人,単体：147人 (2018年3月31日現在)",https://www.iino.co.jp/,,130億9177万5000円,1899年（明治32年）7月,
イートアンド株式会社,食料品,"1,366名【社員・パートアルバイト（8h換算）】（2019年3月31日現在）",https://www.eat-and.jp/,,"20億1,637万円 (2019年3月31日現在)",1977年 （ 昭和 52年） 8月2日 （大阪王将食品株式会社） [1] （1969年（ 昭和 44年）9月創業）,〒 541-0058 大阪府 大阪市 中央区 南久宝寺町 2ｰ1-5
イーグル工業株式会社,機械,"連結：6,070名 単体：1,044名",https://www.ekkeagle.com/jp/,,"連結：104億9,000万円",1964年 10月1日,
E・Jホールディングス株式会社,サービス業,"連結1,226人（2017年5月）",https://www.ej-hds.co.jp/,,20億円,2007年 6月1日,
飯田グループホールディングス株式会社,不動産業,"連結6,386人（2016年3月）",https://www.ighd.co.jp,,100億円,2013年 （ 平成 25年） 11月1日,
イー・ギャランティ株式会社,その他金融業,174人 （2018年4月1日現在）,http://www.eguarantee.co.jp/,,16億4313万円 （2019年3月31日現在）,2000年 （平成12年） 9月8日,
株式会社EMシステムズ,情報・通信業,437名(平成25年6月現在),https://emsystems.co.jp/,,23億600万円,1980年,
ERIホールディングス株式会社,サービス業,863人（2015年8月1日現在）,https://www.j-eri.co.jp/,鈴木崇英,9億9278万円,1999年 11月11日,
アンリツ株式会社,電気機器,"連結：3,778［558］人 単独：836人 （2019年3月31日現在) [1]",https://www.anritsu.com/ja-JP,中川裕雄 (元社長),"191億1,300万円 （2019年3月期) [1]",1950年 10月6日 （創業： 1895年 ）,
株式会社安藤・間,建設業,"連結：3,518人、単独：3,385人 （2018年3月31日現在）",http://www.ad-hzm.co.jp/,,120億円 [1],2003年 （ 平成 15年） 10月1日,
阿波製紙株式会社,パルプ・紙,単体407人（2016年3月）,https://www.awapaper.co.jp/,三木俊治 （相談役）,13億8513万円,1916年 2月12日,
株式会社阿波銀行,銀行業,"単体：1,281人 連結：1,365人 （2016年3月31日現在）",http://www.awabank.co.jp/,久次米兵次郎,"234億5,200万円 （2016年3月31日現在）",1896年 6月19日,
アルフレッサ ホールディングス株式会社,卸売業,"連結：11,901人　単独：42人 （2018年3月31日現在）",https://www.alfresa.com/,石黒傳六 （元社長）,184億54百万円,2003年 （平成15年） 9月29日,
アレンザホールディングス株式会社,小売業,"連結1,077人 （2017年2月末日現在）",,http://www.alleanza-hd.co.jp/,20億円 （2017年2月末日現在）,2016年 9月1日,
株式会社アルペン,小売業,"連結：3,982名 単体：3,126名 （2018年6月30日現在）",https://www.alpen-group.jp/,,"151億6,360万円（2018年6月30日現在）",1972年 （ 昭和 47年） 7月8日,
株式会社アルプス技研,サービス業,"連結4,483名/単体3,679名（2018年12月末現在）",https://www.alpsgiken.co.jp/,,"23億4,7百万円 （2018年12月末現在）",1971年 1月12日,
アルプスアルパイン株式会社,電気機器,"42,289人(2018年3月末現在)",https://www.alpsalpine.com/j/,片岡勝太郎（創業者）,387億30百万円(2018年3月末現在),1948年 11月1日,
