Name,产业,員工人數,网站,代表人物,總資產,成立,總部
保利房地產集團股份有限公司,房地產,,http://www.polycn.com/,李彬海 （ 董事長 ）,,1992年 ，​26年前 ​（ 1992 ）,中国 廣東省 廣州市 海珠區 （ 琶洲街道 ）閱江中路688號保利國際廣場北塔20層
深圳传音控股有限公司,,,http://www.transsion.com/,竺兆江,,2006年 ，​13年前 ​（ 2006 ）,中国 廣東省 深圳市 南山区高新科技园深南大道9789号德赛科技大厦17层
江苏今世缘酒业股份有限公司,酿酒业,,http://www.jinshiyuan.com.cn/,,,1997年12月23日 [1],中国 江苏省 淮安市 涟水县 高沟镇 今世缘大道1号
京投发展股份有限公司,,,http://www.600683.com/,董事长 ： 田振清,,1992年,北京市
内蒙古伊利实业集团股份有限公司,乳业,,http://www.yili.com,,,1956年 1993年（现代）,中国 內蒙古 呼和浩特
安徽九华山旅游发展股份有限公司,旅游业,,http://www.jiuhuashan.cc/,董事长 ： 舒畅,,2000年12月27日,中国 安徽省 池州市 青阳县 五溪新城区
中铁高新工业股份有限公司,,,http://www.crhic.cn,易铁军 (董事长、党委书记) 黄振宇 (副董事长、党委副书记) 李建斌 (董事总经理、党委副书记) 刘恩国 (监事会主席、党委委员),,1999年 (殼公司成立時間) 2017年 (現業務借殼上市),中國四川成都市高新区九兴大道高发大厦B幢一层156号 (註冊地) 中國北京市丰台区南四环西路诺德中心11号楼 (實際總部)
九州通医药集团股份有限公司,药品分销和 零售,,http://www.jztey.com/,董事长 ：刘宝林 总经理 ：龚翼华 财务总监 ：许明珍,,1993年3月 中国 湖北 武汉,中国 湖北省 武汉市 汉阳区 龙阳大道特8号
中遠海運能源運輸股份有限公司,航運 及 物流,,http://www.coscoshippingenergy.com//,董事長 ： 李紹德,,1994年,中华人民共和国 上海市
中金黄金股份有限公司,采掘业,,,董事长： 孙兆学,,2000年6月23日,中国 北京
吉林亞泰集團股份有限公司,綜合企業,,http://www.yatai.com/,董事長 ：宋尚龍,,1986年,中國 吉林 長春
中航动力股份有限公司,航空 製造,,http://www.xaec.com/,董事長 ：庞为,,1958年,中国 陕西省 西安市
中海集裝箱運輸股份有限公司,航運 及 物流,,https://web.archive.org/web/20060706101009/http://www.cscl.com.cn/,董事長 ：李紹德,,1997年,中华人民共和国 上海市
中國中煤能源股份有限公司,煤炭,,http://www.chinacoalenergy.com/,董事長 ：王安,,2006年,中國 北京
中航航空电子系统股份有限公司,航空 製造,,https://web.archive.org/web/20160929155742/http://www.avic-imp.com/,董事長 ：卢广山,,1999年,中国 北京市
中遠海控,航運業,,http://www.chinacosco.com,萬敏（主席）,,,中华人民共和国 上海市
中船海洋與防務裝備股份有限公司,船舶制造业,,http://comec.cssc.net.cn/,,,1954年,中国 广东省 广州市 芳村大道 南40号
中国船舶工业股份有限公司,造船,,http://csscholdings.cssc.net.cn/,胡问鸣 （ 董事长 ）,,1998年,中国 上海
中海油田服務股份,石油 勘察及 鑽井,,http://www.cosl.com.cn/,董事長 ：齐美胜,,2001年,中國 北京
中國鋁業股份,鋁 業,,https://web.archive.org/web/20080513173603/http://www.chalco.com.cn/,,,2001年,中国 北京
中國冶金科工股份有限公司,冶金,,http://www.mccchina.com/,董事長 ：國文清,,2008年,中國 北京
中國中鐵股份有限公司,基建,,http://www.crec.cn,董事長 ： 李長進,,2007年,中國 北京
中國交通建設股份,基建,,http://www.ccccltd.cn/,,,2005年,中国 北京市 西城区 德胜门外大街85号
中國中材集團,水泥 技術 裝備 與 工程,3.64萬人 [1],http://www.sinoma.cn,董事長 ：刘志江,,1983年,中國 北京
中國鐵建,基建,,http://www.crcc.cn/,董事長 ：陈奋建,,1948年,中國 北京
中国铁路广州局集团有限公司,铁路 运输,14.7 万 人（2011年底）,http://www.gzrailway.com.cn,- 董事长： 武勇 - 总经理： 韦皓,,2017年,中国 广东省 广州市 越秀区 中山一路 151号
中国葛洲坝集团股份,,38000余人,http://www.cggc.cn,聂凯（ 董事长 ）付俊雄（ 党委书记 ） 和建生（ 总经理 ）,,1997年,中国 湖北省 武汉市 解放大道 558号葛洲坝大酒店B座7层
中国太平洋保险（集团）股份有限公司,多元化 保险,"85,137 [1]",http://www.cpic.com.cn/,高国富（ 董事长 ） 霍联宏（ 总裁 ）,,1991年,中国 上海市 浦东新区 银城中路190号 交银金融大厦 南塔楼
中国石油天然气股份有限公司,石油 ， 天然气,"863,824（截至2015年末）",http://www.petrochina.com.cn/,,,1999年,中华人民共和国 北京市 东城区东直门北大街9号
中国航空器材集团有限公司,航空 器材技术及保障、 基建,,http://www.casc.com.cn/cas/,董事长 ：贾宝军,,2002年10月11日,中华人民共和国 北京市 顺义区 空港工业区A区天纬四街3号
中国电影集团公司,电影制作和发行,,http://www.zgdygf.com/,董事长 ： 喇培康 总经理 ：江平,,1999年2月,中华人民共和国 北京市 海淀区 新街口 外大街25号
中國神華能源,煤炭,4.2萬人,http://www.shenhuachina.com,董事長 ： 凌文 前 董事長 ： 張玉卓,,1995年,中国 北京
中国电力建设集团有限公司,水利 电力 工程及基础设施投融资、 规划设计 、工程施工、 装备制造 、运营管理,"196,368人（截至2015年）",http://www.powerchina.cn/,董事长 ：晏志勇 总经理 ：孙洪水,,2011年9月29日,中华人民共和国 北京市 海淀区 车公庄西路22号院
中国联合通信有限公司,电信服务业,,,董事长：常小兵,,1994年7月19日,中国 北京
中國石油化工股份有限公司,,368593人(截止2013年末),"https://web.archive.org/web/19980206065801/http://www.sinopec.com.cn/,http://www.sinopecgroup.com/english/Pages/index.html",,,2000年,中国 北京市
中国联合网络通信集团有限公司,通信,28.7万人（截至2016年底）,"http://www.10010.com,http://www.chinaunicom.com",董事长 、 党组书记 ： 王晓初 总经理、党组副书记： 李国华,,1994年6月18日 2009年1月6日（重组）,中华人民共和国 北京市 西城区 金融大街 21号
中国建筑集团有限公司,房屋 基建,"241,474人（2015年）",http://www.cscec.com/,董事長 ： 周乃翔,,1982年,中国 北京市 海淀区 三里河路15号
中国水利水电建设,基建 、 房地产 、 电力 投资,,http://www.sinohydro.com/,董事長 ：晏志勇,,2009年11月27日,中國 北京市 海淀区 车公庄西路 22号院海赋国际
中國平安保險,金融服務,,http://www.pingan.cn,馬明哲（董事長兼首席執行官）,,1988年 ，​30年前 ​（ 1988 ）,中國 深圳
中国国际贸易中心,,,,,,,
中国宝武钢铁集团有限公司,钢铁,"108,914 [來源請求]",http://www.baosteel.com,董事长 ： 陈德荣 总经理 ：空缺,,2016年12月1日,中国 上海市 浦东新区 浦电路 370号宝钢大厦
中国外运股份有限公司,航運 及 物流,,http://www.sinotrans.com/,董事長 ：赵沪湘,,2002年,中國 北京
中国化学工程集团公司,化工 、 石油化工 、 建筑工程 、 环境治理 、工艺工程技术开发、勘察设计及服务,4.6万余人（截至2010年）,http://www.cncec.com.cn/,董事长 ：戴和根 总经理 ：刘家强,,1984年,中华人民共和国 北京市 东城区 东直门内大街2号
中国国际航空,航空运输,,http://www.airchina.com/,,▲ 人民币2357.17816亿元(2017),2002年10月11日,北京市 朝阳区 霄云路36号国航大厦
中国国旅股份有限公司,旅游业,13868人 [2],http://www.citsgroup.net/,董事长 ： 李刚,,2008年3月28日,中华人民共和国 北京市 东城区 东直门外小街甲2号A座8层
中国光大银行股份有限公司,銀行,42250人（2016年末）,http://www.cebbank.com.cn/,董事长 ： 唐双宁 行长：空缺 监事长： 李炘,,1992年8月,中国 北京 西城区 太平桥大街25号中国光大中心
中国南方航空,航空运输,,http://www.csair.cn/,,▲ 人民币2187.18亿元(2017),1987年4月9日,广州市 齐心路68号
中国乐凯集团有限公司,,7300 [2],http://www.luckyfilm.com/,,,1958年7月1日 ( 1958-07-01 ) [1],中国 河北省 保定市 [1]
中南出版傳媒集團股份有限公司,出版業 、 傳媒業 及信息服務業,"14,112人 [1] （2016年）",http://www.zncmjt.com,龔曙光 （ 董事長 ） 丁雙平 （ 總經理 ） 王麗波 （ 財務總監 ）,,2008年12月25日 ，​10年前 ​（ 2008-12-25 ） [2],中華人民共和國 湖南省 長沙市 營盤路38號
中国中化集团公司,能源 、 农业 （ 化肥 ）、 化工 、 地产 、 金融,,http://www.sinochem.com/,董事长 ： 寧高寧,,1950年,中华人民共和国 北京市 西城区 复兴门 内大街28号 凯晨世贸中心中座F11
中国东方航空,航空运输,,http://global.ceair.com,,▲ 1957.09亿元 人民币 (2016),1986年8月9日,中国 上海市 长宁区 虹桥路 2550号
中国中车股份有限公司,铁路,,http://www.crrcgc.cc/,,,2015年6月1日,中国 北京市 海淀区 西四环中路16号 [2]
中信証券股份有限公司,金融,,http://www.cs.ecitic.com/,张佑君 （ 董事长 ）,,1999年12月29日,中国 北京市 朝阳区 亮马桥路48号中信证券大厦
东方证券股份有限公司,投資銀行,,http://www.dfzq.com.cn/,董事長 ：潘鑫军,,1997年,中國 上海
中國人壽保險股份有限公司,人壽保險 、 财产保险 、 养老保险,,http://www.e-chinalife.com/,,,1996年7月23日（前身） 2003年 ，​16年前 ​（ 2003 ） （现今）,中国 北京市 西城区 金融大街16号中國人壽广场A座12樓
中國東方電氣集團公司,發電機 製造,,http://www.dec-ltd.cn/,董事長 ： 斯澤夫 總經理 ： 溫樞剛,,1993年,中国 四川 成都
广州东华实业股份有限公司,房地产开发与经营业,,"http://www.gzdh.com.cn,/wiki/Wikipedia:%E5%A4%B1%E6%95%88%E9%93%BE%E6%8E%A5",董事長 ：杨树坪,,1979年,中国 广东省 广州市 寺右新马路 170号四楼
上海东方明珠新媒体股份有限公司,旅遊 及 媒體,,http://www.oriental-pearl.cn/,董事長 ： 王建军 名誉董事長： 黎瑞刚,,1992年,中国 上海市 徐汇区 宜山路 757号
东吴证券股份有限公司,金融业,,,,,1993年 ，​26年前 ​（ 1993 ）,中国 江苏省 苏州市
上海電氣集團股份有限公司,"電站 , 環保 , 輸配電 , 機床 , 重工 , 電梯 , 軌道交通 , 印包 , 電氣國際 , 電氣財務 , 臨港基地 , 機電股份",,http://www.shanghai-electric.com/,董事長 ：黃迪南,,2004年,中国 上海市 徐汇区 钦江路 212号
上海大智慧股份有限公司,,,http://www.gw.com.cn,,,2000年,上海 上海市浦东新区杨高南路428号1号楼 [1]
上海家化联合股份有限公司,化妆品 、个人护理用品,,http://www.jahwa.com.cn,张东方（ 董事長 ）,,1991年5月22日,中国 上海市 杨浦区江湾城路99号尚浦商务中心5幢
上海建工集团,建筑 、房产开发、市政基础设施投资经营,,http://www.scg.com.cn,徐征（ 董事長 ） 杭迎伟（ 总裁 ）,,,中国 上海市 东大名路 666号
上海國際港務（集團）股份有限公司,港口 运营,,http://www.portshanghai.com.cn/,董事長 、 党委书记 ： 顾金山,,2005年,中国 上海
上海汽车集团股份有限公司,汽车、金融、贸易,"163,817人（2015年）",http://www.saicgroup.com/,陈虹 （ 董事長 ） 陈志鑫 （ 总裁 ）,,1958年,中国 上海市 威海路489号
万华化学集团股份有限公司,化工,,,,,,中国 山东 烟台
上海医药集团股份有限公司,化学药品制剂制造,,http://www.sphchina.com,董事长 ：楼定波 党委书记 ：张震北 总裁 ：左敏 财务总监 ：沈波,,1952年10月（实际） 1994年1月18日 ，​25年前 ​（ 1994-01-18 ） （名义） 上海,上海市 上海市黄浦区太仓路200号1103室 中国（上海）自由贸易试验区张江路92号 皇后大道 15号8楼
中路股份有限公司,自行车,,http://www.cnforever.com/,,,1940年（昌和制作所）,中华人民共和国 上海市 浦东新区 花木街道 花木路832号
三一重工股份有限公司,重工业,,https://www.sanygroup.com,,,1994年,中国 北京市昌平区
中视传媒股份有限公司,影视拍摄、电视节目制作与销售、影视拍摄基地开发和经营、影视设备租赁和技术服务、媒体广告代理,,http://www.ctv-media.com.cn/,董事长 ：梁晓涛 总经理 ：王焰,,1997年7月9日,上海市 浦东新区 福山路450号新天国际大厦17层
特变电工股份有限公司,输变电产业、新能源、新材料、能源、国际工程承包,,http://www.tbea.com,张新（ 董事長 ）,,1988年,中国 新疆维吾尔自治区昌吉回族自治州昌吉市 延安南路52号
大众交通（集团）股份有限公司,以 交通运输 为主的 综合企业,,,董事长： 杨国平,,1988年12月24日,中华人民共和国 上海市 徐汇区 中山西路 1515号大众大厦12楼
新经典文化股份有限公司,图书发行产业,,http://www.readinglife.com,总经理：陈明俊,,2002年7月 ( 2002-07 ),办公地点： 中华人民共和国 北京市 西城区 北三环中路6号 北京出版集团 新办公大楼10层 注册地点： 中华人民共和国 天津市 滨海新区 中新生态城 动漫中路126号动漫大厦B1区701室
